Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Govardhan Sharma in Maharashtra Election 2014,AAKOLA WEST,65,BJP,Yes,1,Graduate,20277339,1913341,Y
Govardhan Mangilalji Sharma in Maharashtra 2009,Akola West,60,BJP,Yes,2,Graduate,5640026,859368,Y
GOVERDHAN MANGILAL SHARMA in Maharashtra 2004,AKOLA,55,BJP,No,0,Graduate,3150951,679628,Y
