Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Nawab Malik in Maharashtra Election 2014,ANUSHAKTI NAGAR,55,NCP,No,0,12th Pass,44847631,4232051,Y
Nawab Malik in Maharashtra 2009,Anushakti Nagar,50,NCP,No,0,12th Pass,13080750,0,Y
NAWAB MALIK in Maharashtra 2004,NEHRUNAGAR,45,NCP,Yes,6,12th Pass,7493922,21387,Y
