Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Patil Shamrao-balaso Pandurang in Maharashtra Election 2014,KARAD NORTH,53,NCP,No,0,12th Pass,81164802,2380487,Y
Patil Shamrao alias Balasaheb Pandurang in Maharashtra 2009,Karad North,47,IND,No,0,12th Pass,19623131,4928759,Y
PATIL BALASAHEB PANDURANG in Maharashtra 2004,KARAD NORTH,39,NCP,No,0,Post Graduate,6412087,517719,Y
