Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Yogesh Sagar in Maharashtra Election 2014,CHARKOP,52,BJP,No,0,10th Pass,19113760,1241052,Y
Yogesh Sagar in Maharashtra 2009,Charkop,55,BJP,No,0,12th Pass,7550993,1700,Y
Yogesh Amritlal Sagar in Brihanmumbai Municipal Corporation 2007,(27-R/S) Devji Bhimji Colony - Paras Nagar,44,BJP,No,0,10th Pass,4000157,0,Y
