Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Mushrif Hasan Miyalal in Maharashtra Election 2014,KAGAL,60,NCP,Yes,5,Graduate,62134417,12275911,Y
Mushirf Hasan Miyalal in Maharashtra 2009,Kagal,56,NCP,Yes,4,Graduate,34684136,7309652,Y
MUSHRIF HASAN MIYYALAL in Maharashtra 2004,KAGAL,50,NCP,Yes,1,Graduate,11323869,5250539,Y
