Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Ashokrao Shankarrao Chavan in Lok Sabha 2019,NANDED,60,INC,Yes,3,Post Graduate,500037964,48525290,Y
Shri Chavan Ashokrao Shankarrao in Loksabha 2014,NANDED,55,INC,No,0,Post Graduate,388758910,30513286,Y
ASHOKRAO SHANKARRAO CHAVAN in Maharashtra 2004,MUDKHED,45,INC,No,0,Graduate Professional,117881779,0,Y
