Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Patil Pandurang Nivrutti in Maharashtra Election 2014,KARVIR,61,INC,No,0,8th Pass,40607558,6946017,Y
P. N. Patil (Sadolikar) in Maharashtra 2009,Karvir,57,INC,No,0,8th Pass,27946819,2094308,Y
P. N. PATIL (SADOLIKAR) in Maharashtra 2004,SANGRUL,48,INC,No,0,8th Pass,26406447,0,Y
