Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Dadaraoji Ketche in Maharashtra Election 2014,ARVI,60,BJP,Yes,1,Graduate,9828007,264940,Y
Dadarao Yadavraoji Keche in Maharashtra 2009,Arvi,55,BJP,No,0,Graduate,4929783,4579788,Y
DADARAO YADAVRAO KECHE in Maharashtra 2004,ARVI,50,BJP,No,0,Graduate,1817000,217502,Y
