Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Patil Chimanrao Rupchand in Maharashtra Election 2014,ERANDOL,64,SHS,Yes,6,Post Graduate,114160490,7953678,Y
Patil Chimanrao Rupchand in Maharashtra 2009,Erandol,59,SHS,Yes,6,Post Graduate,30072760,2106000,Y
PATIL CHIMANRAO RUPCHAND in Maharashtra 2004,PAROLA,54,SHS,Yes,6,Post Graduate,11309731,75598,Y
