Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Anil Bhaidas Patil (amalner) in Maharashtra Election 2014,AMALNER,46,BJP,No,0,Graduate,64389045,142388350,Y
Krushibhushan Sahebrao Patil in Maharashtra 2009,Amalner,62,IND,No,0,Literate,92000,0,Y
Anil Bhaidas Patil in Maharashtra 2009,Amalner,41,BJP,Yes,4,Graduate,13282183,196588259,Y
