Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Rajeshbhaiyya Tope in Maharashtra Election 2014,GANSAVANGI,45,NCP,No,0,Graduate Professional,280496865,57532829,Y
Rajeshbhayya Tope in Maharashtra 2009,Ghansawangi,40,NCP,No,0,Graduate Professional,40049925,344446,Y
RAJESHBHAIYYA TOPE in Maharashtra 2004,AMBAD,35,NCP,No,0,Graduate,13631359,0,Y
