Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Dilip Dattatray Walse Patil in Maharashtra Election 2014,AMBEGAON,58,NCP,Yes,4,Post Graduate,38708246,5040593,Y
Diliprao Dattatray Walse Patil in Maharashtra 2009,Ambegaon,53,NCP,No,0,Post Graduate,14857340,0,Y
DILIPRAO DATTATRAY WALSE-PATIL in Maharashtra 2004,AMBEGAON,48,NCP,No,0,Post Graduate,7486966,364290,Y
