Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,Govardhan Mangilal Sharma Alias Lalaji,AAKOLA WEST,BJP,1,Graduate,59157652,19705877
2,Omprakash Babarao Kadu(Bachchu),ACHALPUR,Prahar Janshakti Party,32,12th Pass,26139529,10844761
3,Aatram Dharamraobaba Bhagwantrao,AHERI (ST),NCP,1,10th Pass,97880923,602788
4,Sangram Arunkaka Jagtap,AHMEDNAGAR CITY,NCP,1,Graduate,104216455,33902755
5,Babasaheb Mohanrao Patil,AHMEDPUR,NCP,0,Graduate,69463932,755515886
6,Sachin Panchappa Kalyanshetti,AKKALKOT,BJP,1,Graduate Professional,42898321,4929582
7,Adv. K. C. Padavi,AKKALKUWA (ST),INC,0,Post Graduate,43874032,4831142
8,Randhir Pralhadrao Sawarkar,AKOLA EAST,BJP,1,Graduate Professional,170221142,87041411
9,Dr. Kiran Yamaji Lahamate,AKOLE,NCP,0,Graduate Professional,5211079,1752452
10,Prakash Gunwantrao Bharsakale,AKOT,BJP,0,8th Pass,0,1542676
11,Mahendra Hari Dalvi,ALIBAG,SHS,3,8th Pass,325399325,39619746
12,Anil Bhaidas Patil,AMALNER,NCP,4,Post Graduate,58664332,9028916
13,Kinikar Balaji Pralhad,AMBARNATH (SC),SHS,0,Graduate Professional,92980020,16398667
14,Dilip Dattatray Walse-Patil,AMBEGAON,NCP,1,Post Graduate,56667949,11328144
15,Sahasram Maroti Korote,AMGAON (ST),INC,1,Graduate,51561535,1815000
16,Sulbha Sanjay Khodke,AMRAVATI,INC,1,Post Graduate,62276412,15864987
17,Ameet Bhaskar Satam,ANDHERI  WEST,BJP,0,Post Graduate,64506983,6296126
18,Ramesh Kondiram Latke,ANDHERI EAST,SHS,0,10th Pass,47277150,13440671
19,Mohammed Nawab Malik,ANUSHAKTI NAGAR,NCP,0,12th Pass,57469772,4530437
20,Chandrikapure Manohar Gowardhan,ARJUNI MORGAON (SC),NCP,0,Graduate,0,14700000
21,Gajbe Krushna Damaji,ARMORI (ST),BJP,0,Graduate,8030574,165947
22,Sandeep Prabhakar Dhurve,ARNI (ST),BJP,1,Graduate Professional,28011629,1081578
23,Dadarao Yadaorao Keche,ARVI,BJP,0,Graduate,12764167,1817676
24,Ajabe Balasaheb Bhausaheb,ASHTI,NCP,0,12th Pass,15190008,90800
25,Jaiswal Pradeep Shivnarayan,AURANGABAD (CENTRAL),SHS,6,8th Pass,328782403,49865057
26,Sanjay Pandurang Shirsat,AURANGABAD (WEST) (SC),SHS,0,12th Pass,33693491,13449388
27,Atul Moreshwar Save,AURANGBAD (EAST),BJP,6,Graduate,220622785,21650226
28,Abhimanyu Dattatray Pawar,AUSA,BJP,1,Post Graduate,11576455,1905000
29,Kuche Narayan Tilakchand,BADNAPUR (SC),BJP,1,Graduate,32357179,1803681
30,Ravi Rana,BADNERA,IND,7,12th Pass,0,78016373
31,Dilip Mangalu Borse,BAGLAN (ST),BJP,0,Graduate,35331557,35048306
32,Nitin Bhikanrao Tale,BALAPUR,SHS,5,12th Pass,16154600,33370
33,Mungantiwar Sudhir Sachchidanand,BALLARPUR,BJP,2,Post Graduate,114234951,15992862
34,Ajit Aanantrao Pawar,BARAMATI,NCP,1,10th Pass,754851067,37370371
35,Rajendra Vitthal Raut,BARSHI,IND,6,12th Pass,278538135,163334618
36,Chandrakant Alias Rajubhaiyya Ramakant Nawghare,BASMATH,NCP,0,12th Pass,9250598,1264537
37,Sandeep Ravindra Kshirsagar,BEED,NCP,5,Graduate,76333000,29601000
38,Manda Vijay Mhatre,BELAPUR,BJP,1,5th Pass,235788270,41325643
39,Narendra Bhojraj Bhondekar,BHANDARA (SC),IND,4,Graduate,35832435,26059360
40,Ramesh Gajanan Korgaonkar,BHANDUP  WEST,SHS,3,8th Pass,0,9898496
41,Chaughule Mahesh Prabhakar,BHIWANDI  WEST,BJP,3,10th Pass,56451944,21411935
42,Rais Kasam Shaikh,BHIWANDI EAST,SP,1,Graduate,54805820,34290556
43,Shantaram Tukaram More,BHIWANDI RURAL (ST),SHS,0,Literate,3486375,1300073
44,Ashokrao Shankarrao Chavan,BHOKAR,INC,3,Post Graduate,501581090,40395685
45,Santosh Raosaheb Danve,BHOKARDAN,BJP,0,Graduate,134857372,18434100
46,Sangram Anantrao Thopte,BHOR,INC,1,Graduate,200944633,2670307
47,Mahesh (Dada) Kisan Landge,BHOSARI,BJP,1,Graduate,28336672,0
48,Sanjay Waman Sawkare,BHUSAWAL (SC),BJP,0,Others,22825325,0
49,Rajesh Raghunath Patil,BOISAR (ST),Bahujan Vikas Aaghadi,1,12th Pass,48410090,699838
50,Sunil Rane,BORIVALI,BJP,0,Graduate,0,5000000
51,Vijay Namdeorao Wadettiwar,BRAMHAPURI,INC,0,10th Pass,447612765,222266073
52,Sanjay Rambhau Gaikwad,BULDHANA,SHS,5,8th Pass,16305440,3929384
53,Yamini Yashwant Jadhav,BYCULLA,SHS,0,Graduate,99037594,31492552
54,Mangesh Ramesh Chavan,CHALISGAON,BJP,1,12th Pass,161830940,70684188
55,Rajesh Narasingrao Patil,CHANDGAD,NCP,0,Graduate Professional,35439023,1971625
56,Dilip Bhausaheb Lande,CHANDIVALI,SHS,8,Graduate,20164543,317222
57,Dr. Aher Rahul Daulatrao,CHANDWAD,BJP,0,Post Graduate,228465235,18040227
58,Yogesh Amrutlal Sagar,CHARKOP,BJP,0,12th Pass,60718509,25151608
59,Prakash Vaikunth Phaterpekar,CHEMBUR,SHS,0,10th Pass,47160147,0
60,Shweta Vidyadhar Mahale,CHIKHLI,BJP,1,10th Pass,0,6357000
61,Bunty Bhangdiya,CHIMUR,BJP,1,12th Pass,926697759,189719519
62,Jagtap Laxman Pandurang,CHINCHWAD,BJP,1,10th Pass,193955887,26404265
63,Shekhar Govindrao Nikam,CHIPLUN,NCP,1,Post Graduate,81492219,11340641
64,Latabai Chandrakant Sonawane,CHOPDA (ST),SHS,0,12th Pass,185269270,578973
65,Rahul Suresh Narwekar,COLABA,BJP,2,Graduate Professional,380915932,200410212
