0,1,2,3,4,5,6,7,8
i,Agricultural Land,Nil,"Malegaon
Total Area 1 acre 20 r
Built Up Area
Whether Inherited N
Purchase Date 2017-07-18
Purchase Cost 415000.00
Development Cost 0.00
4,50,000  4 Lacs+",Nil,Nil,Nil,Nil,"Rs 4,50,000
4 Lacs+"
ii,Non Agricultural Land,"Plot no.20
Total Area 410.60 sq.ft.
Built Up Area
Whether Inherited N
Purchase Date 1999-01-01
Purchase Cost 0.00
Development Cost 500000.00
7,50,000  7 Lacs+",Nil,Nil,"C.S.No.1393
Total Area 110.60 sq.mtr.
Built Up Area
Whether Inherited N
Purchase Date 2010-08-05
Purchase Cost 50000.00
Development Cost 0.00
4,42,400  4 Lacs+

C.S.No.1393
Total Area 37.17 sq.mtr.
Built Up Area
Whether Inherited N
Purchase Date 2010-08-11
Purchase Cost 71000.00
Development Cost 0.00
1,48,680  1 Lacs+",Nil,Nil,"Rs 13,41,080
13 Lacs+"
iii,Commercial Buildings,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,Residential Buildings,"SY.No.152/B Plot no.20, Share 15th
Total Area 17.5x50 sq.ft.
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
7,50,000  7 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 7,50,000
7 Lacs+"
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Total Current Market Value of (i) to (v) (as per Affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Totals Calculated,"Rs 15,00,000
15 Lacs+","Rs 4,50,000
4 Lacs+",Nil,"Rs 5,91,080
5 Lacs+",Nil,Nil,"Rs 25,41,080
25 Lacs+",
