0,1,2,3,4,5,6,7,8
i,Agricultural Land,"Nivdnge 470/4,506/2,507/4+5/2, 09.09.10,07.02.2011, Javkhede Pathardi Ahmednagar 54/2,55/1,55/4, 8.39,2.31,5.22, Kasar Pathardi 165/2,175/5, 3.20,0.06
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 443000.00
Development Cost 0.00
46,14,484  46 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 46,14,484
46 Lacs+"
ii,Non Agricultural Land,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Commercial Buildings,"Avdhut Rajale Bldg Rasnenagar Ahmednagar Final Plot No. 116/ Sub Plot B1, 1st & 2nd Floor Commercial And 3rd Floor Residential
Total Area 384.38Sq.Mtr
Built Up Area 379.68Sq.Mtr
Whether Inherited N
Purchase Date 2008-01-02
Purchase Cost 700000.00
Development Cost 8059095.00
3,53,85,900  3 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 3,53,85,900
3 Crore+"
iv,Residential Buildings,"Pune Flat D-302, Survey No. 25+25A Part MP 1, Bramha Sky City Dhanore Road, Kalvad Pune 15
Total Area 945.18Sq.Ft
Built Up Area 945.18Sq.Ft
Whether Inherited N
Purchase Date 2015-09-23
Purchase Cost 6175517.00
Development Cost 0.00
75,00,000  75 Lacs+","Late Rajiv Rajle Mhada Flat No. D1001 Rajyog Sahkari Gruhnirman Sanstha Versova Mumbai 1374/A
Total Area 693Sq.Ft
Built Up Area 693Sq.Ft
Whether Inherited N
Purchase Date 2010-02-17
Purchase Cost 4246000.00
Development Cost 0.00
1,77,21,000  1 Crore+",Nil,Nil,Nil,Nil,"Rs 2,52,21,000
2 Crore+"
v,Others,"Furniture, Computers, Printer, Xerox, Fax Machine, Mobile, IPad, Lift, Light Decoration, TV, CCTV, System Interior Decoration And Finishing Etc
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
1,45,00,000  1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,45,00,000
1 Crore+"
Total Current Market Value of (i) to (v) (as per Affidavit),"6,20,00,384  6 Crore+","1,77,21,000  1 Crore+",Nil,Nil,Nil,Nil,"Rs 7,97,21,384
7 Crore+",
Totals Calculated,"Rs 6,20,00,384
6 Crore+","Rs 1,77,21,000
1 Crore+",Nil,Nil,Nil,Nil,"Rs 7,97,21,384
7 Crore+",
