0,1,2,3,4,5,6,7,8
i,Agricultural Land,"Loni G No 217, 219, Total 21 Acre 5 R 09/03/2000 1+2 Amt 235000
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
78,00,000  78 Lacs+

Loni G No 199
Total Area
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
48,00,000  48 Lacs+",Nil,Nil,"Niwli Budruk G No 192
Total Area 4 Acre 24 R
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
7,90,000  7 Lacs+",Nil,Nil,"Rs 1,33,90,000
1 Crore+"
ii,Non Agricultural Land,"G No 240
Total Area 21780 sq ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 10000.00
Development Cost 500000.00
10,00,000  10 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 10,00,000
10 Lacs+"
iii,Commercial Buildings,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,Residential Buildings,"Jalna S No 466 Plot No 10
Total Area 6592.90 sqft
Built Up Area 6000 Sft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 3000000.00
Development Cost 300000.00
61,00,000  61 Lacs+

Mumbai S No 1288 Flat NO 103/D
Total Area 693 sqft
Built Up Area 693 sqft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 4500000.00
Development Cost 0.00
75,00,000  75 Lacs+

Loni H No 52/2
Total Area 2870 sqft
Built Up Area 1500 Sft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 200000.00
Development Cost 300000.00
7,00,000  7 Lacs+","Partur S No 304 Plot No 12
Total Area 2000 sq ft
Built Up Area 1500 Sft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 150000.00
Development Cost 0.00
2,50,000  2 Lacs+

Partur Plot No 15
Total Area 2000 sq ft
Built Up Area 1500 Sft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 35000.00
Development Cost 500000.00
35,00,000  35 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,80,50,000
1 Crore+"
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Total Current Market Value of (i) to (v) (as per Affidavit),"2,79,00,000  2 Crore+","37,50,000  37 Lacs+",Nil,"7,90,000  7 Lacs+",Nil,Nil,"Rs 3,24,40,000
3 Crore+",
Totals Calculated,"Rs 2,79,00,000
2 Crore+","Rs 37,50,000
37 Lacs+",Nil,"Rs 7,90,000
7 Lacs+",Nil,Nil,"Rs 3,24,40,000
3 Crore+",
