0,1,2,3,4,5,6,7,8
i,Agricultural Land,"Sonegaon (Aabaji) Sv. No. 82
Total Area 06 Acres
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
40,00,000  40 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 40,00,000
40 Lacs+"
ii,Non Agricultural Land,"Mauje Wadgaon Road, S.N.3/3, Plot No. 1 & 2
Total Area 6527.12 Sq Ft
Built Up Area
Whether Inherited N
Purchase Date 2016-05-12
Purchase Cost 3500000.00
Development Cost 0.00
37,50,000  37 Lacs+

Mouje Pipla, Nagpur Rural, Part No. 184/2, Plot No. 1 to 7
Total Area 21535.00 Sq Ft
Built Up Area
Whether Inherited N
Purchase Date 2010-03-25
Purchase Cost 756000.00
Development Cost 0.00
25,00,000  25 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 62,50,000
62 Lacs+"
iii,Commercial Buildings,"Yavatmaal Seat No. 27 D
Total Area 9450 Sq Ft
Built Up Area 8343.83 Sq ft
Whether Inherited N
Purchase Date 1993-08-30
Purchase Cost 1606500.00
Development Cost 470000.00
2,40,00,000  2 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 2,40,00,000
2 Crore+"
iv,Residential Buildings,"Mauja Yavatmal N.P. Seat No. 50 B Plot No. 22
Total Area 4620.50 Sq Ft
Built Up Area
Whether Inherited N
Purchase Date 2014-02-28
Purchase Cost 1850000.00
Development Cost 0.00
27,25,000  27 Lacs+

Mauja Yavatmaal Vistar No. 47 A Area No. 3/46
Total Area 5850 Sq Ft
Built Up Area 2959.32 Sq Ft
Whether Inherited N
Purchase Date 2018-07-25
Purchase Cost 7600000.00
Development Cost 0.00
82,00,000  82 Lacs+

Mouja Yavatmal, Sheet No.50B, Plot No. 22
Total Area 3385.00 Sq Ft
Built Up Area
Whether Inherited N
Purchase Date 2016-05-12
Purchase Cost 1856000.00
Development Cost 0.00
20,00,000  20 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,29,25,000
1 Crore+"
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Total Current Market Value of (i) to (v) (as per Affidavit),"4,71,75,000  4 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 4,71,75,000
4 Crore+",
Totals Calculated,"Rs 4,71,75,000
4 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 4,71,75,000
4 Crore+",
