0,1,2,3,4,5,6,7,8
i,Agricultural Land,Nil,Nil,Nil,Nil,Nil,Nil,Nil
ii,Non Agricultural Land,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Commercial Buildings,Nil,"CTS NO 594&594/1 VILLAGE VILE PARLE
Total Area 400 SQ.FT
Built Up Area
Whether Inherited N
Purchase Date 2015-09-24
Purchase Cost 4500000.00
Development Cost 0.00
45,00,000  45 Lacs+",Nil,Nil,Nil,Nil,"Rs 45,00,000
45 Lacs+"
iv,Residential Buildings,"ROAD CTS NO 599/600 VILLAGE VILLE PARLE ANDHERI WEST
Total Area 1357 SQ.FT & 1441 SQ.FT
Built Up Area
Whether Inherited N
Purchase Date 2011-07-28
Purchase Cost 5025000.00
Development Cost 300000.00
2,21,00,000  2 Crore+","ROAD CTS NO 599/600 VILLAGE VILLE PARLE ANDHERI WEST
Total Area 1357 SQ.FT & 1441 SQ.FT
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 5025000.00
Development Cost 20815309.00
2,21,00,000  2 Crore+",Nil,Nil,Nil,Nil,"Rs 4,42,00,000
4 Crore+"
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Total Current Market Value of (i) to (v) (as per Affidavit),"2,21,00,000  2 Crore+","2,66,00,000  2 Crore+",Nil,Nil,Nil,Nil,"Rs 4,87,00,000
4 Crore+",
Totals Calculated,"Rs 2,21,00,000
2 Crore+","Rs 2,66,00,000
2 Crore+",Nil,Nil,Nil,Nil,"Rs 4,87,00,000
4 Crore+",
