0,1,2,3,4,5,6,7,8
i,Agricultural Land,Nil,Nil,"Vilhodi Nashik 17/2
Total Area 1Acre38.5Gunthe
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
94,24,000  94 Lacs+

Vilhodi Nashik 19/1
Total Area 3Acre
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
8,61,333  8 Lacs+

Mojhri Tiwsa 255
Total Area 1.50
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
6,66,666  6 Lacs+

Tivsa 178/1
Total Area 6.02
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
33,33,333  33 Lacs+","Vilhodi Nashik 17/2
Total Area 38.5Gunthe
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
94,24,000  94 Lacs+

Vilhodi Nashik 19/1
Total Area 3Acre
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
8,61,333  8 Lacs+

Shendola Tiwsa Amravati 53
Total Area 2.09
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
20,00,000  20 Lacs+","Vilhodi Nashik 17/2
Total Area 38.5Gunthe
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
94,24,000  94 Lacs+

Vilhodi Nashik 19/1
Total Area 3Acre
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
8,61,333  8 Lacs+",Nil,"Rs 3,68,55,998
3 Crore+"
ii,Non Agricultural Land,Nil,Nil,"Satana Nashik 289/2
Total Area 417.2
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
15,10,000  15 Lacs+

Gurudevnagar Tiwsa 20/2, 27 14,15,16,27,28,32,35
Total Area 8810Sq.Mtr
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
2,85,00,000  2 Crore+","Satana Nashik 289/2 417.2
Total Area 1.11
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
15,10,000  15 Lacs+","Satana Nashik 289/2 417.2
Total Area 0.05
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
15,10,000  15 Lacs+",Nil,"Rs 3,30,30,000
3 Crore+"
iii,Commercial Buildings,Nil,Nil,"Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
5,95,00,000  5 Crore+",Nil,Nil,Nil,"Rs 5,95,00,000
5 Crore+"
iv,Residential Buildings,Nil,Nil,"Amravati Camp 91
Total Area 4.725Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
83,33,333  83 Lacs+

Gurudevnagar 1387
Total Area 5514Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
10,00,000  10 Lacs+",Nil,Nil,Nil,"Rs 93,33,333
93 Lacs+"
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Total Current Market Value of (i) to (v) (as per Affidavit),Nil,Nil,"8,75,00,000  8 Crore+",Nil,Nil,Nil,"Rs 8,75,00,000
8 Crore+",
Totals Calculated,Nil,Nil,"Rs 11,31,28,665
11 Crore+","Rs 1,37,95,333
1 Crore+","Rs 1,17,95,333
1 Crore+",Nil,"Rs 13,87,19,331
13 Crore+",
