0,1,2,3,4,5,6,7,8
i,Agricultural Land,"Jambhadi Gat No 373(4.8R), 351(19R), 366(8R), 159(146R)
Total Area 04 Acers 17 R
Built Up Area
Whether Inherited N
Purchase Date 2000-02-16
Purchase Cost 55850.00
Development Cost 60000.00
48,02,738  48 Lacs+","Jambhli Gat No 343 (297R)
Total Area 07 Acer 17 R
Built Up Area
Whether Inherited N
Purchase Date 2005-09-08
Purchase Cost 600000.00
Development Cost 0.00
28,89,810  28 Lacs+",Nil,"1) Jambhadi Gat No 188 (45R)Area 02 Acer 09R Date Of Purchase 2010-10-22 Cost Of Purchase 416000 2) Barve Khurd Gat No 557 (44R) Date of Purchase 2016/03/09 Cost Of Purchase 1800000 3)Ranjhe Gat No 201 (04R) Date Of Purchase 2019/08/23 Cost Of Purchase 500000
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
27,16,000  27 Lacs+",Nil,Nil,"Rs 1,04,08,548
1 Crore+"
ii,Non Agricultural Land,"1) Survey No 3/4/1/2 Ambegaov Buduk Area 10000 Sq Ft Date Of Purchase 1996/07/22 Cost Of Purchase 214500 2) Survey No 37/11 Dhankavli Area 20000 Sq Ft 3) Survey No 37/11 Dhankavli Area 22000 Sq Ft Date Of Purchase 2010/03/11 Cost Of Purchase 7130000 4) Survey No 36 Dhankavli Area 16000 Sq Ft Date Of Purchase 2006/03/17 Cost Of Purchase 2160000 5) Survey No 37/11 Dhankavli Area 3500 Sq Ft Date Of Purchase 2017/11/11 Cost Of Purchase 3842750 60 Survey no 3/4/1/2 Ambegav Buduk Area 6000 Sq Ft Date Of Purchase 1999/08/26 Cost Of Purchase 180000
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
7,68,64,000  7 Crore+","1) Survey No 37 Dhankavli Area 2000 Sq Ft Date Of Purchase 2017/11/20 Cost of Purchase 2357250 2) Survey No 25 Ambegaon Buduk Area 8000 Sq Ft Date Of Purchase 2018/07/19 Cost Of Purchase 550000
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
1,40,96,000  1 Crore+",Nil,Nil,Nil,Nil,"Rs 9,09,60,000
9 Crore+"
iii,Commercial Buildings,"Dhankavli Saraswati Complex Survey No 29
Total Area 7000 Sq Ft
Built Up Area 2625 Sq Ft
Whether Inherited N
Purchase Date 1983-07-22
Purchase Cost 30000.00
Development Cost 155000.00
2,04,92,015  2 Crore+","Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 45000.00
12,57,438  12 Lacs+",Nil,"Dhankavli Survey No 34/4/5/2/1
Total Area 200 Sqft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 100000.00
8,55,400  8 Lacs+",Nil,Nil,"Rs 2,26,04,853
2 Crore+"
iv,Residential Buildings,"Matru Krupa Niwas Dhankavli Survey No 37/1
Total Area 3000 Sq Ft
Built Up Area 900 Sq Ft
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 520000.00
1,13,50,275  1 Crore+",Nil,Nil,"3 Plots Each 500 Sq Ft
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 750000.00
37,30,500  37 Lacs+",Nil,Nil,"Rs 1,50,80,775
1 Crore+"
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Total Current Market Value of (i) to (v) (as per Affidavit),"11,35,09,028  11 Crore+","1,82,43,248  1 Crore+",Nil,"73,01,900  73 Lacs+",Nil,Nil,"Rs 13,90,54,176
13 Crore+",
Totals Calculated,"Rs 11,35,09,028
11 Crore+","Rs 1,82,43,248
1 Crore+",Nil,"Rs 73,01,900
73 Lacs+",Nil,Nil,"Rs 13,90,54,176
13 Crore+",
