0,1,2,3,4,5,6,7,8
i,Agricultural Land,"pachod bu taluka paithan
Total Area 1 acre
Built Up Area
Whether Inherited N
Purchase Date 1989-02-10
Purchase Cost 15525.00
Development Cost 0.00
5,54,400  5 Lacs+

pachod bu taluka paithan .g.n.200mouje
Total Area 5 acre
Built Up Area
Whether Inherited N
Purchase Date 2001-10-17
Purchase Cost 56941.00
Development Cost 0.00
28,95,600  28 Lacs+

pachod bu taluka paithan g.no.23/1/b/2
Total Area 2 Acre
Built Up Area
Whether Inherited N
Purchase Date 2004-05-23
Purchase Cost 189300.00
Development Cost 0.00
9,44,500  9 Lacs+","pachod bu.taluka paithan g.no.230
Total Area 2 Acre 1Gunthe
Built Up Area
Whether Inherited N
Purchase Date 1998-04-13
Purchase Cost 58500.00
Development Cost 0.00
11,22,660  11 Lacs+

pachod bu.talukaa paithan 1) g.no.201/3
Total Area 2 Acre 20 Gunthe
Built Up Area
Whether Inherited N
Purchase Date 1999-01-01
Purchase Cost 81981.00
Development Cost 0.00
13,86,000  13 Lacs+

pachod taluka paithan g.no199/2
Total Area 4 acres 16 gunthe
Built Up Area
Whether Inherited N
Purchase Date 2000-09-03
Purchase Cost 81822.00
Development Cost 0.00
24,89,200  24 Lacs+

pachod taluka paithan g.no.161
Total Area 7 Acre 3 Gunthe
Built Up Area
Whether Inherited N
Purchase Date 1996-09-03
Purchase Cost 105000.00
Development Cost 0.00
16,64,040  16 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,10,56,400
1 Crore+"
ii,Non Agricultural Land,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Commercial Buildings,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,Residential Buildings,"panchod taluka paithan aourangabad
Total Area 800 sq ft
Built Up Area 800 sq ft
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 50000.00
Development Cost 0.00
28,43,122  28 Lacs+

ramkrushna nagar gorkheda aourangabad
Total Area 413549 SQ FT
Built Up Area 280249 SQ FT
Whether Inherited N
Purchase Date 2008-08-14
Purchase Cost 4500000.00
Development Cost 0.00
93,09,264  93 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,21,52,386
1 Crore+"
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Total Current Market Value of (i) to (v) (as per Affidavit),"1,65,46,886  1 Crore+","66,61,900  66 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,32,08,786
2 Crore+",
Totals Calculated,"Rs 1,65,46,886
1 Crore+","Rs 66,61,900
66 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,32,08,786
2 Crore+",
