Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Dilip Lande in Maharashtra Election 2014,GHATKOPAR WEST,53,MNS,Yes,5,Graduate,11881495,0,Y
दिलीप भाऊसाहेब लांडे in Brihanmumbai Municipal Corporation 2012,(154-L) Kamani Industries - Sakinaka,50,MNS,No,0,Graduate,15113760,48566,Y
Dilip Bhausaheb Lande in Maharashtra 2009,Chandivali,48,MNS,Yes,3,Graduate,4430150,129984,Y
