Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Prakash Bharsakle in Maharashtra Election 2014,AKOT,62,BJP,No,0,8th Pass,108989206,54026462,Y
Bharasakle prakash Gunwant in Maharashtra 2009,Akot,57,IND,Yes,2,8th Pass,8680450,1048905,Y
PRAKASH GUNVANTRAO BHARSAKALE in Maharashtra 2004,DARYAPUR,52,SHS,Yes,10,10th Pass,3497808,1392600,Y
