Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Mangal Prabhat Lodha in Maharashtra Election 2014,MALABAR HILL,58,BJP,Yes,1,Graduate Professional,1986179233,916698414,Y
Mangal Prabhat Lodha in Maharashtra 2009,Malabar Hill,54,BJP,Yes,5,Graduate Professional,686433265,77230146,Y
MANGAL PRABHAT LODHA in Maharashtra 2004,MALBAR HILL,48,BJP,Yes,6,Graduate Professional,78995000,1510000,Y
