Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Ashish Nandkishore Jaiswal (vakil) in Maharashtra Election 2014,RAMTEK,43,SHS,Yes,7,Graduate Professional,15708075,1661667,Y
Ashish Nandkishor Jaiswal (Wakil) in Maharashtra 2009,Ramtek,38,SHS,Yes,4,Graduate Professional,6608146,694055,Y
ASHISH NANDKISHOR JAISWAL (WAKIL) in Maharashtra 2004,RAMTEK,33,SHS,Yes,7,Graduate Professional,2954167,174889,Y
