Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Gorantyal Kailas Kishanrao in Maharashtra Election 2014,JALNA,49,INC,Yes,4,Graduate,65793451,15343746,Y
Gorantyal kailas Kishanrao in Maharashtra 2009,Jalna,44,INC,Yes,3,Graduate,69639955,700000,Y
KAILAS KISHANRAO GORANTYAL in Maharashtra 2004,JALNA,39,INC,Yes,1,Graduate,118758300,6693181,Y
