Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Deshmukh Subhash Sureshchandra in Maharashtra Election 2014,SOLAPUR SOUTH,57,BJP,Yes,10,10th Pass,319146182,36580789,Y
Deshmukh Subhash Sureshchandra in Maharashtra 2009,Tuljapur,51,BJP,Yes,4,10th Pass,178216660,23909164,Y
DESHMUKH SUBHASH SURESHCHANDRA in Lok Sabha 2009,Madha,50,BJP,Yes,1,10th Pass,177011757,23909164,Y
