Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Warpudkar Suresh Ambadasrao in Maharashtra Election 2014,PATHRI,63,INC,Yes,2,Graduate,58650479,3108524,Y
Warpudkar Suresh Ambadasrao in Maharashtra 2009,Gangakhed,60,NCP,No,0,Post Graduate,28197000,3331000,Y
WARPUDKAR SURESH AMBADASRAO in Lok Sabha 2009,Parbhani,60,NCP,No,0,Graduate,26897000,3331000,Y
