Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Gavit Vijaykumar Krishnarao in Maharashtra Election 2014,NANDURBAR (ST),58,BJP,Yes,8,Post Graduate,128181915,19253003,Y
VijayKumar Krushanrao Gavit in Maharashtra 2009,Nandurbar (ST),53,NCP,Yes,8,Post Graduate,48093319,8072706,Y
GAVIT VIJAYKUMAR KRISHNARAO in Maharashtra 2004,NANDURBAR (ST),49,NCP,No,0,Graduate Professional,15687053,7115931,Y
