Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Jayant Rajaram Patil in Maharashtra Election 2014,ISLAMPUR,52,NCP,No,0,Graduate Professional,55725285,0,Y
Jayant Rajaram Patil in Maharashtra 2009,Islampur,47,NCP,No,0,Graduate Professional,58765221,0,Y
JAYANT RAJARAM PATIL in Maharashtra 2004,WALVA,42,NCP,No,0,Graduate Professional,29358788,4610598,Y
