Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Kumar Iylani in Maharashtra Election 2014,ULHASNAGAR,57,BJP,Yes,1,10th Pass,155315639,52348912,Y
Kumar Uttamchand Ailani in Maharashtra 2009,Ulhasnagar,52,BJP,Yes,1,10th Pass,63383056,14594227,Y
AILANI KUMAR UTTAMCHAND in Maharashtra 2004,ULHASNAGAR,47,BJP,Yes,1,10th Pass,20162492,9400000,Y
