Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Devendra Fadnavis in Maharashtra Election 2014,NAGPUR SOUTH WEST,44,BJP,Yes,22,Graduate Professional,43485337,1019498,Y
Devendra Gangadharrao Fadnavis in Maharashtra 2009,Nagpur South West,39,BJP,Yes,18,Graduate Professional,19878402,0,Y
DEVENDRA GANGADHAR FADNVIS in Maharashtra 2004,NAGPUR WEST,34,BJP,Yes,9,Others,15236000,1048200,Y
