Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Abdul Sattar Abdul Nabi in Maharashtra Election 2014,SILLOD,49,INC,No,0,12th Pass,176594688,21545898,Y
Abdul Sattar Abdul Nabi in Maharashtra 2009,Sillod,44,INC,Yes,12,Graduate,54619600,17717936,Y
ABDUL SATTAR ABDUL NABI in Maharashtra 2004,SILLOD,40,INC,No,0,12th Pass,14842000,1835000,Y
