Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Bhujbal Chhagan Chandrakant in Loksabha 2014,NASHIK,66,NCP,Yes,1,10th Pass,217559536,350000,Y
Chhagan Chandrakant Bhujbal in Maharashtra Election 2014,YEVLA,67,NCP,Yes,1,10th Pass,219129415,150000,Y
Chhagan Bhujbal in Maharashtra 2009,Yevla,61,NCP,No,0,10th Pass,77529023,117640,Y
