Name,Constituency,Age,PartyCode,CriminalCases,NumberOfCases,EducationLevel,TotalAssets,TotalLiabilities,PANGiven
Jagtap Laxman Pandurang in Loksabha 2014,MAVAL,51,Peasants And Workers Party of India,Yes,3,10th Pass,63729286,2417066,Y
Jagtap Laxman Pandurang in Maharashtra Election 2014,CHINCHWAD,51,BJP,Yes,4,10th Pass,62534559,2089672,Y
Jagtap Laxman Pandurang in Maharashtra 2009,Chinchwad,47,IND,No,0,10th Pass,40056313,0,Y
