Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Govardhan Mangilal Sharma Alias Lalaji in Maharashtra 2019,AAKOLA WEST,70,BJP,Yes,1,Graduate,"5,91,57,652
~ 5 Crore+","1,97,05,877
~ 1 Crore+",Y
Govardhan Sharma in Maharashtra Election 2014,AAKOLA WEST,65,BJP,Yes,1,Graduate,"2,02,77,339
~ 2 Crore+","19,13,341
~ 19 Lacs+",Y
Govardhan Mangilalji Sharma in Maharashtra 2009,Akola West,60,BJP,Yes,2,Graduate,"56,40,026
~ 56 Lacs+","8,59,368
~ 8 Lacs+",Y
GOVERDHAN MANGILAL SHARMA in Maharashtra 2004,AKOLA,55,BJP,No,0,Graduate,"31,50,951
~ 31 Lacs+","6,79,628
~ 6 Lacs+",Y
