Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Ashokrao Shankarrao Chavan in Maharashtra 2019,BHOKAR,60,INC,Yes,3,Post Graduate,"50,15,81,090
~ 50 Crore+","4,03,95,685
~ 4 Crore+",Y
Ashokrao Shankarrao Chavan in Lok Sabha 2019,NANDED,60,INC,Yes,3,Post Graduate,"50,00,37,964
~ 50 Crore+","4,85,25,290
~ 4 Crore+",Y
Shri Chavan Ashokrao Shankarrao in Loksabha 2014,NANDED,55,INC,No,0,Post Graduate,"38,87,58,910
~ 38 Crore+","3,05,13,286
~ 3 Crore+",Y
ASHOKRAO SHANKARRAO CHAVAN in Maharashtra 2004,MUDKHED,45,INC,No,0,Graduate Professional,"11,78,81,779
~ 11 Crore+","0
~",Y
