Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Prakash Gunwantrao Bharsakale in Maharashtra 2019,AKOT,67,BJP,No,0,8th Pass,"13,40,77,697
~ 13 Crore+","15,42,676
~ 15 Lacs+",Y
Prakash Bharsakle in Maharashtra Election 2014,AKOT,62,BJP,No,0,8th Pass,"10,89,89,206
~ 10 Crore+","5,40,26,462
~ 5 Crore+",Y
Bharasakle prakash Gunwant in Maharashtra 2009,Akot,57,IND,Yes,2,8th Pass,"86,80,450
~ 86 Lacs+","10,48,905
~ 10 Lacs+",Y
PRAKASH GUNVANTRAO BHARSAKALE in Maharashtra 2004,DARYAPUR,52,SHS,Yes,10,10th Pass,"34,97,808
~ 34 Lacs+","13,92,600
~ 13 Lacs+",Y
