Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Dadarao Yadaorao Keche in Maharashtra 2019,ARVI,65,BJP,No,0,Graduate,"1,27,64,167
~ 1 Crore+","18,17,676
~ 18 Lacs+",Y
Dadaraoji Ketche in Maharashtra Election 2014,ARVI,60,BJP,Yes,1,Graduate,"98,28,007
~ 98 Lacs+","2,64,940
~ 2 Lacs+",Y
Dadarao Yadavraoji Keche in Maharashtra 2009,Arvi,55,BJP,No,0,Graduate,"49,29,783
~ 49 Lacs+","45,79,788
~ 45 Lacs+",Y
DADARAO YADAVRAO KECHE in Maharashtra 2004,ARVI,50,BJP,No,0,Graduate,"18,17,000
~ 18 Lacs+","2,17,502
~ 2 Lacs+",Y
