Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Pandurang Nivrutti Patil in Maharashtra 2019,KARVIR,66,INC,Yes,2,8th Pass,"5,33,18,558
~ 5 Crore+","1,38,832
~ 1 Lacs+",Y
Patil Pandurang Nivrutti in Maharashtra Election 2014,KARVIR,61,INC,No,0,8th Pass,"4,06,07,558
~ 4 Crore+","69,46,017
~ 69 Lacs+",Y
P. N. Patil (Sadolikar) in Maharashtra 2009,Karvir,57,INC,No,0,8th Pass,"2,79,46,819
~ 2 Crore+","20,94,308
~ 20 Lacs+",Y
P. N. PATIL (SADOLIKAR) in Maharashtra 2004,SANGRUL,48,INC,No,0,8th Pass,"2,64,06,447
~ 2 Crore+","0
~",Y
