Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Ramesh Kondiram Latke in Maharashtra 2019,ANDHERI EAST,49,SHS,No,0,10th Pass,"4,72,77,150
~ 4 Crore+","1,34,40,671
~ 1 Crore+",Y
Ramesh Kondiram Latke in Maharashtra Election 2014,ANDHERI EAST,44,SHS,Yes,2,10th Pass,"3,48,24,303
~ 3 Crore+","1,14,83,596
~ 1 Crore+",Y
Ramesh Kondiram Latke in Maharashtra 2009,Andheri East,39,SHS,Yes,2,8th Pass,"33,04,771
~ 33 Lacs+","1,10,92,202
~ 1 Crore+",Y
Ramesh Kondiram Latke in Brihanmumbai Municipal Corporation 2007,(72-K/E) Gundavali (East) - E.S.I.S. Hospital,36,SS,No,0,10th Pass,"48,69,000
~ 48 Lacs+","29,19,441
~ 29 Lacs+",Y
