Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Sulbha Sanjay Khodke in Maharashtra 2019,AMRAVATI,56,INC,Yes,1,Post Graduate,"6,22,76,412
~ 6 Crore+","1,58,64,987
~ 1 Crore+",Y
Sulbha Sanjay Khodke in Maharashtra Election 2014,BADNERA,51,INC,Yes,2,Graduate Professional,"4,84,69,542
~ 4 Crore+","2,38,13,079
~ 2 Crore+",Y
Sulabha Sanjay Khodke in Maharashtra 2009,Badnera,46,NCP,No,0,Post Graduate,"52,51,546
~ 52 Lacs+","0
~",Y
SULBHA SANJAY KHODKE in Maharashtra 2004,BADNERA,41,NCP,No,0,Post Graduate,"16,42,238
~ 16 Lacs+","0
~",Y
