
i,Agricultural Land,"Babhulgaon 78
Total Area 8 Acre 8 Guntha
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
40,20,000  40 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 40,20,000
40 Lacs+"
ii,Non Agricultural Land,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Commercial Buildings,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,Residential Buildings,"Babhulgaon 128
Total Area 2898 Sq ft
Built Up Area 2898 Sq ft
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
29,99,000  29 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 29,99,000
29 Lacs+"
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Total Current Market Value of (i) to (v) (as per Affidavit),"70,19,000  70 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 70,19,000
70 Lacs+"
Totals Calculated,"Rs 70,19,000
70 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 70,19,000
70 Lacs+"
