
i,Agricultural Land,"Mhalevadi Chandgad 693
Total Area 0.11.56
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
1,68,718  1 Lacs+

Mhalevadi Chandgad 766
Total Area 0.03.33
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
35,164  35 Thou+

Mhalevadi Chandgad 680
Total Area 0.14.01
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
1,77,226  1 Lacs+

Mhalevadi Chandgad 475
Total Area 0.00.66
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
48,840  48 Thou+

Mhalevadi Chandgad 456
Total Area 0.02
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
18,210  18 Thou+

Mhalevadi Chandgad 332
Total Area 0.064
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
79,680  79 Thou+

Mhalevadi Chandgad 39
Total Area 0.00.33
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
24,420  24 Thou+

Mhalevadi Chandgad 448
Total Area 0.00.66
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
48,840  48 Thou+

Mhalevadi Chandgad 113
Total Area 0.00.80
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
59,200  59 Thou+

Mhalevadi Chandgad 1005
Total Area 0.05
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
45,525  45 Thou+

Valkuli Chandgad 580
Total Area 1.70
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
10,31,900  10 Lacs+

Valkuli Chandgad 580
Total Area 0.58
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
3,52,060  3 Lacs+

Supe Chandgad 147/3
Total Area 0.66.66
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
21,05,900  21 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 41,95,683
41 Lacs+"
ii,Non Agricultural Land,"CTS 23 Baner Road Pune, CTS 4824/C/52, CTS 249 TV Tower, Nanganvadi Chandgad 725
Total Area 1433Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 390000.00
Development Cost 0.00
31,50,280  31 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 31,50,280
31 Lacs+"
iii,Commercial Buildings,"5853/6 Nanavadi Belgaon 3, Naganvadi Chandgad 725
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
0*(Value Not Given)",Nil,Nil,Nil,Nil,Nil,Rs 0
iv,Residential Buildings,"2/3 2nd Floor Versova Mumbai
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
97,38,833  97 Lacs+

Plot No. 8 CTS 57541st Crass Maratha Colony Belgaon
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
46,87,860  46 Lacs+

CTS 1348 Ramling Khind Belgaon
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
21,75,271  21 Lacs+","3/2 Ayodhya Park Kolhapur
Total Area 445Sq.Ft
Built Up Area 445Sq.Ft
Whether Inherited N
Purchase Date 2010-11-25
Purchase Cost 0.00
Development Cost 0.00
19,13,500  19 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,85,15,464
1 Crore+"
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Total Current Market Value of (i) to (v) (as per Affidavit),"2,39,96,767  2 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 2,39,96,767
2 Crore+"
Totals Calculated,"Rs 2,39,47,927
2 Crore+","Rs 19,13,500
19 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,58,61,427
2 Crore+"
