
i,Agricultural Land,"Borkhedi 37/1
Total Area 4.09
Built Up Area
Whether Inherited N
Purchase Date 2003-05-07
Purchase Cost 229120.00
Development Cost 0.00
5,04,70,000  5 Crore+

Borkhedi 37/2
Total Area 4.06
Built Up Area
Whether Inherited N
Purchase Date 2003-05-07
Purchase Cost 227630.00
Development Cost 0.00
5,02,25,000  5 Crore+

Hudkeshwar 170
Total Area 2
Built Up Area
Whether Inherited N
Purchase Date 2007-11-26
Purchase Cost 2352109.00
Development Cost 0.00
1,87,86,000  1 Crore+

Gojee 276
Total Area 5.18
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 997820.00
Development Cost 0.00
42,29,899  42 Lacs+

Borkhedi 45/1
Total Area 2
Built Up Area
Whether Inherited N
Purchase Date 2014-03-01
Purchase Cost 5045370.00
Development Cost 0.00
2,96,94,000  2 Crore+","Kawdak 141
Total Area 2.92
Built Up Area
Whether Inherited N
Purchase Date 2001-03-23
Purchase Cost 68785.00
Development Cost 0.00
7,39,860  7 Lacs+

Warud 144/3
Total Area 9.84
Built Up Area
Whether Inherited N
Purchase Date 2005-11-24
Purchase Cost 760000.00
Development Cost 0.00
71,46,000  71 Lacs+

Borkhedi 45/1
Total Area 2.01
Built Up Area
Whether Inherited N
Purchase Date 2014-02-26
Purchase Cost 5045370.00
Development Cost 0.00
1,05,30,000  1 Crore+

Borkhedi 44/1
Total Area 2.50
Built Up Area
Whether Inherited N
Purchase Date 2014-10-20
Purchase Cost 8297540.00
Development Cost 0.00
3,47,90,000  3 Crore+",Nil,"Warud 140, 144/2
Total Area 9.54 acres
Built Up Area
Whether Inherited N
Purchase Date 2019-05-22
Purchase Cost 1091515.00
Development Cost 0.00
69,30,000  69 Lacs+

Bitborgaon 142/1
Total Area 4.23 acre
Built Up Area
Whether Inherited N
Purchase Date 2019-03-14
Purchase Cost 6330960.00
Development Cost 0.00
63,30,960  63 Lacs+

Ramtek 85/02
Total Area 5.31 acre
Built Up Area
Whether Inherited N
Purchase Date 2019-04-05
Purchase Cost 1485040.00
Development Cost 0.00
14,85,040  14 Lacs+",Nil,Nil,"Rs 22,13,56,759
22 Crore+"
ii,Non Agricultural Land,"Kalmeshwar 629/B
Total Area 195832
Built Up Area
Whether Inherited N
Purchase Date 1994-09-29
Purchase Cost 228656.00
Development Cost 0.00
4,71,38,000  4 Crore+","Borkhedi 36
Total Area 295900
Built Up Area
Whether Inherited N
Purchase Date 2003-04-25
Purchase Cost 381390.00
Development Cost 0.00
9,32,20,000  9 Crore+",Nil,Nil,Nil,Nil,"Rs 14,03,58,000
14 Crore+"
iii,Commercial Buildings,"Shop At Sakkardara
Total Area
Built Up Area 346.36
Whether Inherited N
Purchase Date 2006-06-20
Purchase Cost 484050.00
Development Cost 0.00
18,48,350  18 Lacs+

Shop At Sakkardara
Total Area
Built Up Area 173.18
Whether Inherited N
Purchase Date 2006-05-09
Purchase Cost 322430.00
Development Cost 0.00
4,62,088  4 Lacs+

Dhamangaon FS-06
Total Area 173.18
Built Up Area
Whether Inherited N
Purchase Date 2014-05-29
Purchase Cost 4912800.00
Development Cost 32773487.00
81,38,856  81 Lacs+

Dhamangaon 134/2
Total Area 310964
Built Up Area 26833.44
Whether Inherited N
Purchase Date 2017-02-08
Purchase Cost 6186919.00
Development Cost 0.00
2,07,92,700  2 Crore+

Shop At Wadi 2&3
Total Area
Built Up Area 466.54
Whether Inherited N
Purchase Date 2017-03-01
Purchase Cost 1598300.00
Development Cost 0.00
15,98,300  15 Lacs+

Hingna 56
Total Area
Built Up Area 217.12
Whether Inherited N
Purchase Date 2015-01-19
Purchase Cost 719662.00
Development Cost 0.00
8,06,840  8 Lacs+

Hingna 57
Total Area
Built Up Area 217.12
Whether Inherited N
Purchase Date 2015-01-19
Purchase Cost 707210.00
Development Cost 0.00
8,06,840  8 Lacs+

Sharda Hostel 263/3
Total Area 55145
Built Up Area 61407
Whether Inherited N
Purchase Date 2016-12-04
Purchase Cost 8751840.00
Development Cost 0.00
10,55,92,684  10 Crore+

Shalinta Hostel 264
Total Area 23149.24
Built Up Area 44671.86
Whether Inherited N
Purchase Date 2016-10-04
Purchase Cost 7224780.00
Development Cost 37532319.00
8,01,79,004  8 Crore+

Gayatri Hostel 268
Total Area 34765.56
Built Up Area 49119
Whether Inherited N
Purchase Date 2016-10-04
Purchase Cost 14491010.00
Development Cost 0.00
7,55,34,130  7 Crore+

Meghe Heights 3 268
Total Area 12912
Built Up Area 13923.87
Whether Inherited N
Purchase Date 2015-09-28
Purchase Cost 4022250.00
Development Cost 9599860.00
2,24,25,713  2 Crore+","Laxmi Hostel 75/2
Total Area 2474.91
Built Up Area 6603.73
Whether Inherited N
Purchase Date 2002-02-08
Purchase Cost 2692040.00
Development Cost 0.00
83,32,571  83 Lacs+

Bldg At Beonda Amravati 31A, 31B
Total Area 23984.13
Built Up Area 17197.92
Whether Inherited N
Purchase Date 2015-04-13
Purchase Cost 5331680.00
Development Cost 27352126.00
3,89,75,338  3 Crore+",Nil,Nil,Nil,Nil,"Rs 36,54,93,414
36 Crore+"
iv,Residential Buildings,"Pandey Layout Khamla 71,72,73
Total Area 4750
Built Up Area 300
Whether Inherited N
Purchase Date 2003-02-06
Purchase Cost 3986730.00
Development Cost 0.00
1,66,54,247  1 Crore+

Pandey Layout Khamla 72,73
Total Area 4750.54
Built Up Area 100
Whether Inherited N
Purchase Date 2006-05-09
Purchase Cost 2214060.00
Development Cost 0.00
1,66,54,247  1 Crore+

Lokhandwala 1/136
Total Area
Built Up Area 490
Whether Inherited N
Purchase Date 2009-07-31
Purchase Cost 6686740.00
Development Cost 0.00
1,60,31,204  1 Crore+

Wadala 102
Total Area
Built Up Area 3295
Whether Inherited N
Purchase Date 2019-02-28
Purchase Cost 70607562.00
Development Cost 0.00
7,61,33,926  7 Crore+

Borkhedi Mohgaon 37/1
Total Area
Built Up Area 9525.75
Whether Inherited N
Purchase Date 2013-04-01
Purchase Cost 0.00
Development Cost 2658662.00
26,58,662  26 Lacs+","Narendra Nagar 3273C
Total Area 3998.42
Built Up Area 3998.42
Whether Inherited N
Purchase Date 2001-04-12
Purchase Cost 274618.00
Development Cost 1857200.00
1,17,42,560  1 Crore+

Narendra Nagar 3273B
Total Area 3998.42
Built Up Area 3998.42
Whether Inherited N
Purchase Date 2001-04-12
Purchase Cost 274618.00
Development Cost 1857200.00
1,17,42,560  1 Crore+

Quarter Borkhedi 36
Total Area
Built Up Area 4835
Whether Inherited N
Purchase Date 2013-04-01
Purchase Cost 0.00
Development Cost 1450500.00
14,50,500  14 Lacs+

Flat At Powai 104
Total Area
Built Up Area 655.19
Whether Inherited N
Purchase Date 2017-07-12
Purchase Cost 12476640.00
Development Cost 0.00
1,24,76,640  1 Crore+",Nil,Nil,Nil,Nil,"Rs 16,55,44,546
16 Crore+"
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Total Current Market Value of (i) to (v) (as per Affidavit),"64,68,60,690  64 Crore+","23,11,46,029  23 Crore+",0,"1,47,46,000  1 Crore+",Nil,Nil,"Rs 89,27,52,719
89 Crore+"
Totals Calculated,"Rs 64,68,60,690
64 Crore+","Rs 23,11,46,029
23 Crore+",Nil,"Rs 1,47,46,000
1 Crore+",Nil,Nil,"Rs 89,27,52,719
89 Crore+"
