
i,Agricultural Land,"Jamgaon Barshi 223 1/4 share of the total value Rs.7343900, my share is
Total Area 15Acre20Gunthe
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 18320000.00
Development Cost 0.00
18,35,975  18 Lacs+

Jamgaon Barshi 259/2
Total Area 1Acre17Gunthe
Built Up Area
Whether Inherited N
Purchase Date 2012-03-05
Purchase Cost 18320000.00
Development Cost 0.00
6,75,165  6 Lacs+

Jamgaon Barshi 222/1, Total current market value is Rs.3340290 my share is 1/4 value rs.
Total Area 7Acre6Gunthe
Built Up Area
Whether Inherited Y
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
8,35,072  8 Lacs+

Jamgaon Barshi 222/2 Total value is 947600 my share is 1/4 value rs.236900
Total Area 7Acre6Gunthe
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
2,36,900  2 Lacs+

Jamgaon Barshi 220 Total current market value is rs.2238705 my share is 1/4 rs.559676
Total Area 4Acre29Gunth
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
5,59,676  5 Lacs+

Jamgaon Barshi 231/2/1
Total Area 1Acre14Gunthe
Built Up Area
Whether Inherited N
Purchase Date 2006-01-18
Purchase Cost 26234.00
Development Cost 0.00
6,39,630  6 Lacs+

Jamgaon Barshi 174/2, Total current market value rs.2369000 my share is 1/2 rs.1184500
Total Area 5Acre
Built Up Area
Whether Inherited N
Purchase Date 2014-09-28
Purchase Cost 3800000.00
Development Cost 0.00
11,84,500  11 Lacs+

Barshi 128/2
Total Area 14Acre35Gunthe
Built Up Area
Whether Inherited N
Purchase Date 2017-06-12
Purchase Cost 18320000.00
Development Cost 0.00
3,09,06,200  3 Crore+

Barshi 127
Total Area 5Acre22Gunthe
Built Up Area
Whether Inherited N
Purchase Date 2017-06-12
Purchase Cost 18320000.00
Development Cost 0.00
2,42,06,720  2 Crore+

Barshi 125
Total Area 2Acre21Gunthe
Built Up Area
Whether Inherited N
Purchase Date 2019-01-16
Purchase Cost 17661000.00
Development Cost 0.00
1,10,09,000  1 Crore+

Barshi 50/14
Total Area 7.5Gunthe
Built Up Area
Whether Inherited N
Purchase Date 2014-05-19
Purchase Cost 300000.00
Development Cost 0.00
8,15,320  8 Lacs+

Barshi 50/14
Total Area 14.60Gunthe
Built Up Area
Whether Inherited N
Purchase Date 2013-09-27
Purchase Cost 500000.00
Development Cost 0.00
15,91,400  15 Lacs+

Barshi 129
Total Area 1Acre14Gunthe
Built Up Area
Whether Inherited N
Purchase Date 2017-06-12
Purchase Cost 18320000.00
Development Cost 0.00
4,36,000  4 Lacs+

Barshi 50/15
Total Area 12Gunthe
Built Up Area
Whether Inherited N
Purchase Date 2018-05-02
Purchase Cost 1308000.00
Development Cost 0.00
13,08,000  13 Lacs+

Barshi 34/3
Total Area 29Gunthe
Built Up Area
Whether Inherited N
Purchase Date 2016-06-21
Purchase Cost 2110000.00
Development Cost 0.00
31,61,000  31 Lacs+

Pirangut Mulshi Pune Total current market value is rs.14250000 my share is 1/6 rs.2375000
Total Area 1Acre16Gunthe
Built Up Area
Whether Inherited N
Purchase Date 2008-11-06
Purchase Cost 350000.00
Development Cost 0.00
23,75,000  23 Lacs+

Vanevadi Barshi 177/2, Total current market value rs.327910 my share is 1/4 value rs.81977
Total Area 3Acre2Gunthe
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
81,977  81 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 8,18,57,535
8 Crore+"
ii,Non Agricultural Land,"Barshi 1408/2+3+6+7
Total Area 16738Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2018-01-18
Purchase Cost 1700000.00
Development Cost 0.00
16,95,582  16 Lacs+

Barshi 49/2
Total Area 12912Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2017-03-14
Purchase Cost 1200000.00
Development Cost 0.00
13,08,000  13 Lacs+

Barshi 49/1/A
Total Area 6478Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2017-06-22
Purchase Cost 700000.00
Development Cost 0.00
6,56,235  6 Lacs+

Barshi 157
Total Area 12912Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2016-02-29
Purchase Cost 2010000.00
Development Cost 0.00
26,28,000  26 Lacs+

Barshi 1410/6 A + 1410/7 + 1362/3/2
Total Area 1651Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2018-01-18
Purchase Cost 3930000.00
Development Cost 0.00
5,66,194  5 Lacs+

Barshi 1410/6A + 1410/7 + 1362/3/2
Total Area 12912Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2018-01-18
Purchase Cost 3930000.00
Development Cost 0.00
4,42,763  4 Lacs+

Barshi 1410/6A + 1410/7 + 1362/3/2
Total Area 1291Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2018-01-18
Purchase Cost 3930000.00
Development Cost 0.00
4,42,763  4 Lacs+

Barshi 1410/6A + 1410/7+ 1362/3/2
Total Area 1291
Built Up Area
Whether Inherited N
Purchase Date 2018-01-18
Purchase Cost 3930000.00
Development Cost 0.00
4,42,763  4 Lacs+

Barshi 1410/6A + 1410/7 + 1362/3/2
Total Area 1440Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 3930000.00
Development Cost 0.00
4,93,833  4 Lacs+","Barshi 57/2 641 Share 1/2 of Total value 187306
Total Area 1849Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2010-02-04
Purchase Cost 0.00
Development Cost 0.00
93,653  93 Thou+

Barshi 57/2 642, Share 1/2 of Total value is rs.169985
Total Area 1678Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2010-02-04
Purchase Cost 0.00
Development Cost 0.00
84,992  84 Thou+

Barshi 57/2 643 Share 1/2 of Total value is rs.169985
Total Area 1678Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2010-02-04
Purchase Cost 0.00
Development Cost 0.00
84,992  84 Thou+

Barshi 57/2 671 Share 1/2 of Total value is rs.183597
Total Area 1842Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2010-02-04
Purchase Cost 0.00
Development Cost 0.00
93,298  93 Thou+

Barshi 57/2 59 672 Share 1/2 of Total value is rs.185583
Total Area 1832Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2010-02-04
Purchase Cost 0.00
Development Cost 0.00
92,791  92 Thou+

Barshi 60 766 Share 1/2 of Total value is rs.184570
Total Area 1822Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2010-02-04
Purchase Cost 0.00
Development Cost 0.00
92,285  92 Thou+

Barshi 57/2 669, Share 1/2 of Total value is rs.194805
Total Area 1923Sq.Ft
Built Up Area
Whether Inherited N
Purchase Date 2010-02-04
Purchase Cost 0.00
Development Cost 0.00
97,402  97 Thou+",Nil,Nil,Nil,Nil,"Rs 93,15,546
93 Lacs+"
iii,Commercial Buildings,"Barshi 2544 total current market value is rs.6666755 my share is 1/4 rs.1666688
Total Area 6773Sq.Ft
Built Up Area 639Sq.Ft
Whether Inherited N
Purchase Date 2012-12-27
Purchase Cost 3000000.00
Development Cost 0.00
16,66,688  16 Lacs+

Barshi 2564/1 Total current market value is rs. 10519680 my share is rs.2629920
Total Area 2817Sq.Ft
Built Up Area 7000Sq.Ft
Whether Inherited N
Purchase Date 2018-04-03
Purchase Cost 9450000.00
Development Cost 0.00
26,29,920  26 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 42,96,608
42 Lacs+"
iv,Residential Buildings,"Barshi Solapur 3809/2/2
Total Area 3228Sq.Ft
Built Up Area 3000Sq.Ft
Whether Inherited N
Purchase Date 2008-06-17
Purchase Cost 200000.00
Development Cost 0.00
72,12,400  72 Lacs+

Barshi Solapur 61/1 10
Total Area 1276Sq.Ft
Built Up Area 850Sq.Ft
Whether Inherited N
Purchase Date 2013-04-29
Purchase Cost 0.00
Development Cost 0.00
45,01,600  45 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,17,14,000
1 Crore+"
v,Others,"LaxmiKrushi Production Share 1% of total value 1494413
Total Area
Built Up Area
Whether Inherited N
Purchase Date 0000-00-00
Purchase Cost 0.00
Development Cost 0.00
14,944  14 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 14,944
14 Thou+"
Total Current Market Value of (i) to (v) (as per Affidavit),"10,65,59,222  10 Crore+","6,39,415  6 Lacs+",Nil,Nil,Nil,Nil,"Rs 10,71,98,637
10 Crore+"
Totals Calculated,"Rs 10,65,59,220
10 Crore+","Rs 6,39,413
6 Lacs+",Nil,Nil,Nil,Nil,"Rs 10,71,98,633
10 Crore+"
