
i,Agricultural Land,"Pingali Bu. 24, 25
Total Area 8.31 r
Built Up Area
Whether Inherited N
Purchase Date 2011-11-21
Purchase Cost 1702640.00
Development Cost 0.00
60,00,000  60 Lacs+","Vavdi hardo 19, 21
Total Area 1.91 r
Built Up Area
Whether Inherited N
Purchase Date 2017-05-11
Purchase Cost 1350000.00
Development Cost 0.00
20,00,000  20 Lacs+

Khel Mali 74
Total Area 1.86 r
Built Up Area
Whether Inherited N
Purchase Date 2018-05-21
Purchase Cost 1978340.00
Development Cost 0.00
24,00,000  24 Lacs+",Nil,"Kel Sonaji 36
Total Area 1.72 r
Built Up Area
Whether Inherited N
Purchase Date 2018-06-04
Purchase Cost 1931500.00
Development Cost 0.00
24,00,000  24 Lacs+",Nil,Nil,"Rs 1,28,00,000
1 Crore+"
ii,Non Agricultural Land,Nil,"Khel Khasa Ku. 9, 10
Total Area 37144 sq. ft.
Built Up Area
Whether Inherited N
Purchase Date 2011-11-01
Purchase Cost 695786.00
Development Cost 0.00
85,00,000  85 Lacs+",Nil,Nil,Nil,Nil,"Rs 85,00,000
85 Lacs+"
iii,Commercial Buildings,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,Residential Buildings,"At Jalgaon Ja., Siddhivinayak Nagar, Survey No. 9
Total Area 6459 sq. ft.
Built Up Area 2500 sq. ft.
Whether Inherited N
Purchase Date 2003-03-05
Purchase Cost 70000.00
Development Cost 730000.00
48,00,000  48 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 48,00,000
48 Lacs+"
v,Others,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Total Current Market Value of (i) to (v) (as per Affidavit),"1,08,00,000  1 Crore+","1,29,00,000  1 Crore+",Nil,"24,00,000  24 Lacs+",Nil,Nil,"Rs 2,61,00,000
2 Crore+"
Totals Calculated,"Rs 1,08,00,000
1 Crore+","Rs 1,29,00,000
1 Crore+",Nil,"Rs 24,00,000
24 Lacs+",Nil,Nil,"Rs 2,61,00,000
2 Crore+"
