links,names
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9158,Ajabe Balasaheb Bhausaheb
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10376,Jaiswal Pradeep Shivnarayan
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8138,Sanjay Pandurang Shirsat
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10429,Atul Moreshwar Save
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10470,Abhimanyu Dattatray Pawar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10512,Kuche Narayan Tilakchand
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10551,Ravi Rana
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8180,Dilip Mangalu Borse
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8199,Nitin Bhikanrao Tale
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9526,Mungantiwar Sudhir Sachchidanand
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10610,Ajit Aanantrao Pawar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=10672,Rajendra Vitthal Raut
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9614,Chandrakant Alias Rajubhaiyya Ramakant Nawghare
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7577,Sandeep Ravindra Kshirsagar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8873,Manda Vijay Mhatre
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8368,Narendra Bhojraj Bhondekar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8768,Ramesh Gajanan Korgaonkar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=8686,Chaughule Mahesh Prabhakar
https://myneta.info/maharashtra2019/candidate.php?candidate_id=9820,Rais Kasam Shaikh
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7613,Shantaram Tukaram More
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7463,Ashokrao Shankarrao Chavan
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7836,Santosh Raosaheb Danve
https://myneta.info/maharashtra2019/candidate.php?candidate_id=7669,Sangram Anantrao Thopte
