Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
1,Rutuja Ramesh Latke,ANDHERI EAST : BYE ELECTION ON 03-11-2022,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate,"Rs 9,23,41,608 ~ 9 Crore+","Rs 2,19,75,596 ~ 2 Crore+"
2,Ashwini Laxman Jagtap,CHINCHWAD : BYE ELECTION ON 26-02-2023,BJP,0,10th Pass,"Rs 32,17,19,301 ~ 32 Crore+","Rs 6,61,41,318 ~ 6 Crore+"
3,Antapurkar Jitesh Raosaheb,DEGLUR (SC) : BYE ELECTION ON 30-10-2021,INC,0,Graduate Professional,"Rs 1,34,89,977 ~ 1 Crore+","Rs 58,24,400 ~ 58 Lacs+"
4,Dhangekar Ravindra Hemraj,KASBA PETH : BYE ELECTION ON 26-02-2023,INC,9,8th Pass,"Rs 8,36,10,456 ~ 8 Crore+","Rs 67,81,970 ~ 67 Lacs+"
5,Jadhav Jayshri Chandrakant(Anna),KOLHAPUR NORTH : BYE ELECTION ON 12-04-2022,INC,1,10th Pass,"Rs 86,23,35,443 ~ 86 Crore+","Rs 22,63,24,028 ~ 22 Crore+"
