Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
266,Raju Devnath Parwe,UMRED (SC),INC,2,12th Pass,"Rs 4,42,60,494 ~ 4 Crore+","Rs 1,04,99,372 ~ 1 Crore+"
267,Mahesh Baldi,URAN,IND,2,12th Pass,"Rs 33,73,81,000 ~ 33 Crore+","Rs 10,95,00,000 ~ 10 Crore+"
268,Sunil Vijay Tingre,VADGAON SHERI,NCP,3,10th Pass,"Rs 49,71,04,996 ~ 49 Crore+","Rs 1,71,54,332 ~ 1 Crore+"
269,Bornare Ramesh Nanasaheb,VAIJAPUR,SHS,0,Post Graduate,"Rs 7,61,14,452 ~ 7 Crore+","Rs 1,33,27,276 ~ 1 Crore+"
270,Ashish Babaji Shelar,VANDRE  WEST,BJP,3,Graduate Professional,,"Rs 1,65,27,297 ~ 1 Crore+"
271,Zeeshan Baba Siddique,VANDRE EAST,INC,0,Graduate,"Rs 8,98,56,975 ~ 8 Crore+","Rs 76,06,391 ~ 76 Lacs+"
272,Dr. Bharati Lavekar,VARSOVA,BJP,0,Doctorate,"Rs 4,56,37,811 ~ 4 Crore+",Rs 0 ~
273,Hitendra Vishnu Thakur,VASAI,Bahujan Vikas Aaghadi,5,Graduate,"Rs 1,14,21,35,258 ~ 114 Crore+","Rs 24,36,89,342 ~ 24 Crore+"
274,Sunil Chandrakant Bhuasara,VEKRAMGRTH (ST),NCP,2,12th Pass,"Rs 82,18,721 ~ 82 Lacs+","Rs 55,33,558 ~ 55 Lacs+"
275,Raut Sunil Rajaram,VIKHROLI,SHS,3,12th Pass,"Rs 5,72,71,268 ~ 5 Crore+","Rs 1,73,66,888 ~ 1 Crore+"
276,Alavani Parag,VILE PARLE,BJP,0,Graduate Professional,"Rs 25,47,53,378 ~ 25 Crore+","Rs 2,58,45,478 ~ 2 Crore+"
277,Kalidas Nilkanth Kolambkar,WADALA,BJP,0,10th Pass,"Rs 5,47,89,929 ~ 5 Crore+","Rs 40,31,845 ~ 40 Lacs+"
278,Makrand Laxmanrao Jadhav (Patil),WAI,NCP,1,Others,"Rs 2,08,59,050 ~ 2 Crore+","Rs 53,40,257 ~ 53 Lacs+"
279,Sanjivreddy Bapurao Bodkurwar,WANI,BJP,0,Graduate,"Rs 6,83,59,021 ~ 6 Crore+","Rs 16,00,000 ~ 16 Lacs+"
280,Dr. Pankaj Rajesh Bhoyar,WARDHA,BJP,0,Doctorate,,"Rs 2,37,04,469 ~ 2 Crore+"
281,Dhanorkar Pratibha Suresh,WARORA,INC,0,12th Pass,"Rs 13,08,02,042 ~ 13 Crore+","Rs 2,25,90,809 ~ 2 Crore+"
282,Lakhan Sahadeo Malik,WASHIM (SC),BJP,0,Literate,"Rs 80,15,288 ~ 80 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
283,Aditya Thackeray,WORLI,SHS,0,Graduate Professional,"Rs 17,69,28,474 ~ 17 Crore+",Rs 0 ~
284,Madan Madhukar Yerawar,YAVATMAL,BJP,1,Others,"Rs 9,69,22,734 ~ 9 Crore+","Rs 1,88,46,318 ~ 1 Crore+"
285,Chhagan Chandrakant Bhujbal,YEVLA,NCP,7,10th Pass,"Rs 26,94,39,298 ~ 26 Crore+","Rs 91,14,295 ~ 91 Lacs+"
