Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
91,Vidya Jaiprakash Thakur,GOREGAON,BJP,0,8th Pass,"Rs 17,24,50,031 ~ 17 Crore+","Rs 4,43,89,717 ~ 4 Crore+"
92,Bhaskar Bhaurao Jadhav,GUHAGAR,SHS,0,10th Pass,"Rs 17,14,73,049 ~ 17 Crore+","Rs 5,14,67,150 ~ 5 Crore+"
93,Chetan Vitthal Tupe,HADAPSAR,NCP,2,10th Pass,"Rs 40,76,10,886 ~ 40 Crore+","Rs 4,31,00,000 ~ 4 Crore+"
94,Jawalgaonkar Madhavrao Nivruttirao Patil,HADGAON,INC,0,Graduate,"Rs 2,44,20,604 ~ 2 Crore+","Rs 15,78,340 ~ 15 Lacs+"
95,Raju Jaywantrao Awale,HATKANANGLE (SC),INC,0,Graduate,"Rs 10,38,34,979 ~ 10 Crore+","Rs 1,49,31,378 ~ 1 Crore+"
96,Samir Trimbakrao Kunawar,HINGANGHAT,BJP,0,12th Pass,"Rs 10,66,27,299 ~ 10 Crore+","Rs 30,87,252 ~ 30 Lacs+"
97,Meghe Sameer Dattatraya,HINGNA,BJP,0,Graduate,"Rs 1,59,59,88,608 ~ 159 Crore+","Rs 63,89,15,454 ~ 63 Crore+"
98,Tanhaji Sakharamji Mutkule,HINGOLI,BJP,1,10th Pass,"Rs 2,00,65,517 ~ 2 Crore+","Rs 95,51,419 ~ 95 Lacs+"
99,Prakashanna Awade,ICHALKARANJI,IND,2,10th Pass,"Rs 28,13,73,610 ~ 28 Crore+","Rs 5,59,10,524 ~ 5 Crore+"
100,Hiraman Bhika Khoskar,IGATPURI (ST),INC,0,Literate,,"Rs 1,35,23,840 ~ 1 Crore+"
101,Dattatray Vithoba Bharane,INDAPUR,NCP,0,12th Pass,"Rs 32,83,64,476 ~ 32 Crore+",Rs 0 ~
102,Jayant Rajaram Patil,ISLAMPUR,NCP,0,12th Pass,"Rs 16,95,18,704 ~ 16 Crore+",Rs 0 ~
103,Kute Sanjay Shriram,JALGAON (JAMOD),BJP,0,Graduate Professional,"Rs 6,89,18,940 ~ 6 Crore+","Rs 1,78,26,618 ~ 1 Crore+"
104,Suresh Damu Bhole,JALGAON CITY,BJP,5,Graduate,"Rs 22,03,57,879 ~ 22 Crore+","Rs 3,08,80,376 ~ 3 Crore+"
105,Gulabrao Raghunath Patil,JALGAON RURAL,SHS,1,12th Pass,"Rs 5,39,35,752 ~ 5 Crore+","Rs 66,95,291 ~ 66 Lacs+"
106,Kailas Kisanrao Gorantyal,JALNA,INC,4,10th Pass,"Rs 8,80,19,008 ~ 8 Crore+","Rs 64,32,670 ~ 64 Lacs+"
107,Girish Dattatraya Mahajan,JAMNER,BJP,0,12th Pass,"Rs 25,43,34,079 ~ 25 Crore+","Rs 44,42,070 ~ 44 Lacs+"
108,Vikramsinh Balasaheb Sawant,JAT,INC,2,Graduate,"Rs 4,94,69,485 ~ 4 Crore+","Rs 35,88,785 ~ 35 Lacs+"
109,Meghana Deepak Sakore Bordikar,JINTUR,BJP,2,Graduate,"Rs 19,43,93,825 ~ 19 Crore+","Rs 4,35,00,009 ~ 4 Crore+"
110,Ravindra Dattaram Waikar,JOGESHWARI EAST,SHS,4,Graduate,,"Rs 3,88,47,316 ~ 3 Crore+"
111,Atul Vallabh Benke,JUNNAR,NCP,1,Graduate Professional,"Rs 16,12,45,520 ~ 16 Crore+","Rs 4,16,77,430 ~ 4 Crore+"
112,Mushrif Hasan Miyalal,KAGAL,NCP,3,Graduate,"Rs 10,62,46,539 ~ 10 Crore+","Rs 96,39,928 ~ 96 Lacs+"
113,Namita Akshay Mundada,KAIJ (SC),BJP,0,Graduate Professional,"Rs 29,88,99,095 ~ 29 Crore+","Rs 5,19,48,756 ~ 5 Crore+"
114,Bangar Santosh Laxmanrao,KALAMNURI,SHS,6,5th Pass,"Rs 92,83,596 ~ 92 Lacs+","Rs 15,64,443 ~ 15 Lacs+"
115,Nitin Arjun Pawar,KALWAN (ST),NCP,0,Graduate,"Rs 5,77,37,210 ~ 5 Crore+",Rs 0 ~
116,Vishwanath Atmaram Bhoir,KALYAN  WEST,SHS,2,Graduate,"Rs 1,22,25,428 ~ 1 Crore+","Rs 20,34,431 ~ 20 Lacs+"
117,Ganpat Kalu Gaikwad,KALYAN EAST,BJP,18,5th Pass,"Rs 63,65,91,819 ~ 63 Crore+","Rs 3,63,64,348 ~ 3 Crore+"
118,Pramod Ratan Patil,KALYAN RURAL,MNS,1,10th Pass,"Rs 23,86,28,592 ~ 23 Crore+","Rs 4,03,61,298 ~ 4 Crore+"
119,Sawarkar Tekchand Shrawan,KAMTHI,BJP,0,10th Pass,"Rs 2,44,85,588 ~ 2 Crore+","Rs 9,17,000 ~ 9 Lacs+"
120,Atul Bhatkhalkar,KANDIVALI EAST,BJP,0,Graduate,,"Rs 37,73,908 ~ 37 Lacs+"
121,Nitesh Narayan Rane,KANKAVLI,BJP,8,Post Graduate,"Rs 14,04,26,630 ~ 14 Crore+","Rs 6,04,34,114 ~ 6 Crore+"
122,Udaysing Sardarsing Rajput,KANNAD,SHS,0,Graduate,"Rs 4,11,04,500 ~ 4 Crore+","Rs 47,05,380 ~ 47 Lacs+"
123,Balasaheb Alias Shamrao Pandurang Patil,KARAD NORTH,NCP,0,12th Pass,"Rs 18,47,83,842 ~ 18 Crore+","Rs 52,67,401 ~ 52 Lacs+"
124,Prithviraj Chavan,KARAD SOUTH,INC,0,Post Graduate,"Rs 16,65,67,339 ~ 16 Crore+","Rs 5,67,650 ~ 5 Lacs+"
125,Patni Rajendra Sukhanand,KARANJA,BJP,2,Graduate,"Rs 10,20,57,286 ~ 10 Crore+","Rs 4,52,46,674 ~ 4 Crore+"
126,Mahendra Sadashiv Thorve,KARJAT,SHS,3,10th Pass,"Rs 19,90,72,607 ~ 19 Crore+","Rs 2,74,28,600 ~ 2 Crore+"
127,Rohit Pawar,KARJAT JAMKHED,NCP,0,Graduate Professional,"Rs 59,45,75,227 ~ 59 Crore+","Rs 3,74,00,682 ~ 3 Crore+"
128,Sanjaymama Vitthalrao Shinde,KARMALA,IND,1,Graduate,"Rs 52,00,98,724 ~ 52 Crore+","Rs 13,91,25,248 ~ 13 Crore+"
129,Pandurang Nivrutti Patil,KARVIR,INC,2,8th Pass,"Rs 5,33,18,558 ~ 5 Crore+","Rs 1,38,832 ~ 1 Lacs+"
130,Mukta Shailesh Tilak,KASBA PETH,BJP,2,Graduate,,"Rs 21,04,05,000 ~ 21 Crore+"
131,Anil Deshmukh,KATOL,NCP,8,Post Graduate,"Rs 14,57,56,429 ~ 14 Crore+","Rs 4,60,06,101 ~ 4 Crore+"
132,Bhimrao Dhondiba Tapkir,KHADAKWASALA,BJP,1,12th Pass,"Rs 14,67,21,547 ~ 14 Crore+","Rs 9,16,524 ~ 9 Lacs+"
133,Akash Pandurang Fundkar,KHAMGAON,BJP,1,Graduate Professional,"Rs 7,80,71,684 ~ 7 Crore+","Rs 70,96,000 ~ 70 Lacs+"
134,Anilrao Kaljerao Babar,KHANPUR,SHS,0,Graduate,"Rs 6,00,07,375 ~ 6 Crore+","Rs 2,07,75,473 ~ 2 Crore+"
135,Dilip Dattatray Mohite,KHED ALANDI,NCP,7,10th Pass,"Rs 12,44,62,716 ~ 12 Crore+","Rs 31,23,368 ~ 31 Lacs+"
136,Bhimrao Ramjee Keram,KINWAT,BJP,1,10th Pass,"Rs 1,24,45,900 ~ 1 Crore+","Rs 22,40,000 ~ 22 Lacs+"
137,Chandrakant Pandit Jadhav,KOLHAPUR NORTH,INC,1,10th Pass,"Rs 79,62,11,297 ~ 79 Crore+","Rs 18,92,92,063 ~ 18 Crore+"
138,Ruturaj Sanjay Patil,KOLHAPUR SOUTH,INC,0,12th Pass,"Rs 34,39,05,973 ~ 34 Crore+","Rs 17,66,20,548 ~ 17 Crore+"
139,Ashutosh Ashokrao Kale,KOPARGAON,NCP,2,Post Graduate,"Rs 18,25,59,681 ~ 18 Crore+","Rs 88,88,950 ~ 88 Lacs+"
140,Eknath Sambhaji Shinde,KOPRI-PACHPAKHADI,SHS,18,10th Pass,,"Rs 3,74,60,261 ~ 3 Crore+"
141,Mahesh Sambhajiraje Shinde,KOREGAON,SHS,1,Graduate Professional,"Rs 22,04,17,625 ~ 22 Crore+","Rs 1,62,52,295 ~ 1 Crore+"
142,Chandrakant Bachhu Patil,KOTHRUD,BJP,2,Graduate,"Rs 5,99,73,848 ~ 5 Crore+","Rs 42,51,821 ~ 42 Lacs+"
143,Vaibhav Vijay Naik,KUDAL,SHS,1,Graduate,"Rs 20,79,21,460 ~ 20 Crore+","Rs 89,57,521 ~ 89 Lacs+"
144,Mangesh Anant Kudalkar,KURLA (SC),SHS,0,12th Pass,"Rs 4,44,70,299 ~ 4 Crore+","Rs 87,30,081 ~ 87 Lacs+"
145,Amit Vilasrao Deshmukh,LATUR CITY,INC,0,Graduate Professional,"Rs 22,08,97,768 ~ 22 Crore+","Rs 1,61,60,136 ~ 1 Crore+"
146,Dhiraj Vilasrao Deshmukh,LATUR RURAL,INC,0,Post Graduate,"Rs 35,79,06,963 ~ 35 Crore+","Rs 1,69,64,868 ~ 1 Crore+"
147,Shyamsundar Dagdoji Shinde,LOHA,Peasants And Workers Party of India,0,Post Graduate,"Rs 43,62,44,267 ~ 43 Crore+","Rs 1,42,79,020 ~ 1 Crore+"
148,Shinde Babanrao Vitthalrao,MADHA,NCP,1,10th Pass,"Rs 14,10,13,558 ~ 14 Crore+","Rs 53,93,607 ~ 53 Lacs+"
149,Prakash Rajaram Surve,MAGATHANE,SHS,1,Graduate,"Rs 33,11,65,935 ~ 33 Crore+",Rs 0 ~
150,Gogawale Bharat Maruti,MAHAD,SHS,1,8th Pass,,"Rs 21,97,910 ~ 21 Lacs+"
151,Sada Sarvankar,MAHIM,SHS,4,10th Pass,"Rs 25,71,71,841 ~ 25 Crore+","Rs 2,49,19,014 ~ 2 Crore+"
152,Prakash Sundarrao Solanke,MAJALGAON,NCP,0,Graduate,"Rs 11,59,32,960 ~ 11 Crore+","Rs 15,60,000 ~ 15 Lacs+"
153,Mangalprabhat Lodha,MALABAR HILL,BJP,5,Graduate Professional,"Rs 4,41,65,70,742 ~ 441 Crore+","Rs 2,83,36,98,199 ~ 283 Crore+"
154,Aslam Ramzanali Shaikh,MALAD  WEST,INC,7,8th Pass,"Rs 11,36,18,422 ~ 11 Crore+","Rs 41,21,783 ~ 41 Lacs+"
155,Mohammed Ismail Abdul Khalique,MALEGAON (CENTRAL),All India Majlis-E-Ittehadul Muslimeen,8,Others,"Rs 56,57,646 ~ 56 Lacs+",Rs 0 ~
156,Bhuse Dadaji Dagdu,MALEGAON (OUTER),SHS,1,Others,"Rs 10,97,87,139 ~ 10 Crore+","Rs 72,37,614 ~ 72 Lacs+"
157,Ekade Rajesh Panditrao,MALKAPUR,INC,2,12th Pass,"Rs 1,75,04,343 ~ 1 Crore+","Rs 32,60,725 ~ 32 Lacs+"
158,Ram Vitthal Satpute,MALSHIRAS (SC),BJP,3,Graduate Professional,"Rs 10,34,869 ~ 10 Lacs+","Rs 75,000 ~ 75 Thou+"
159,Jaykumar Bhagwanrao Gore,MAN,BJP,5,12th Pass,"Rs 5,78,95,086 ~ 5 Crore+","Rs 61,22,285 ~ 61 Lacs+"
160,Abu Asim Azmi,MANKHURD SHIVAJINAGAR,SP,12,Graduate,,"Rs 9,09,03,811 ~ 9 Crore+"
161,Sunil Shankarrao Shelke,MAVAL,NCP,0,8th Pass,"Rs 54,51,61,063 ~ 54 Crore+","Rs 5,13,09,059 ~ 5 Crore+"
162,Geeta Bharat Jain,MEERA BHAYANDAR,IND,2,12th Pass,"Rs 70,44,11,192 ~ 70 Crore+","Rs 11,30,76,721 ~ 11 Crore+"
163,Sanjay Bhaskar Raymulkar,MEHKAR (SC),SHS,0,10th Pass,"Rs 1,31,41,503 ~ 1 Crore+","Rs 44,90,076 ~ 44 Lacs+"
164,Rajkumar Dayaram Patel,MELGHAT (ST),Prahar Janshakti Party,12,Post Graduate,"Rs 2,02,45,700 ~ 2 Crore+",Rs 0 ~
165,Dr. Suresh (Bhau) Dagadu Khade,MIRAJ (SC),BJP,3,Doctorate,"Rs 4,96,38,755 ~ 4 Crore+",Rs 0 ~
166,Mane Yashwant Vitthal,MOHOL (SC),NCP,0,Graduate,"Rs 12,74,18,742 ~ 12 Crore+","Rs 10,16,94,667 ~ 10 Crore+"
167,Devendra Mahadevrao Bhuyar,MORSHI,Swabhimani Paksha,11,12th Pass,"Rs 29,29,000 ~ 29 Lacs+","Rs 6,00,000 ~ 6 Lacs+"
168,Tushar Govindrao Rathod,MUKHED,BJP,0,Graduate Professional,"Rs 4,05,19,706 ~ 4 Crore+","Rs 49,09,534 ~ 49 Lacs+"
169,Chandrakant Nimba Patil,MUKTAINAGAR,IND,0,12th Pass,"Rs 2,34,33,778 ~ 2 Crore+","Rs 45,18,000 ~ 45 Lacs+"
170,Kotecha Mihir Chandrakant,MULUND,BJP,0,10th Pass,,"Rs 15,62,63,545 ~ 15 Crore+"
171,Amin Patel,MUMBADEVI,INC,2,10th Pass,"Rs 44,70,40,953 ~ 44 Crore+","Rs 8,33,53,258 ~ 8 Crore+"
172,Awhad Jitendra Satish,MUMBRA-KALWA,NCP,25,Doctorate,"Rs 47,89,36,553 ~ 47 Crore+","Rs 37,58,81,299 ~ 37 Crore+"
173,Kisan Shankar Kathore,MURBAD,BJP,1,10th Pass,"Rs 10,60,48,531 ~ 10 Crore+","Rs 13,29,363 ~ 13 Lacs+"
174,Harish Marotiappa Pimpale,MURTIZAPUR (SC),BJP,0,12th Pass,"Rs 1,99,35,370 ~ 1 Crore+","Rs 28,06,668 ~ 28 Lacs+"
175,Vikas Shankarrao Kumbhare,NAGPUR CENTRAL,BJP,9,12th Pass,"Rs 1,96,67,295 ~ 1 Crore+","Rs 9,29,164 ~ 9 Lacs+"
176,Krushna Pancham Khopde,NAGPUR EAST,BJP,2,5th Pass,"Rs 10,15,61,637 ~ 10 Crore+","Rs 4,05,08,726 ~ 4 Crore+"
177,Dr. Nitin Raut,NAGPUR NORTH (SC),INC,4,Doctorate,"Rs 21,57,51,328 ~ 21 Crore+","Rs 4,07,95,859 ~ 4 Crore+"
178,Mohan Gopalrao Mate,NAGPUR SOUTH,BJP,5,10th Pass,"Rs 2,44,94,826 ~ 2 Crore+","Rs 8,35,000 ~ 8 Lacs+"
179,Devendra Gangadharrao Fadnavis,NAGPUR SOUTH WEST,BJP,4,Graduate Professional,"Rs 8,71,21,376 ~ 8 Crore+","Rs 62,00,000 ~ 62 Lacs+"
180,Vikas Pandurang Thakre,NAGPUR WEST,INC,25,Graduate,,"Rs 1,15,69,178 ~ 1 Crore+"
181,Rajesh Sambhajirao Pawar,NAIGAON,BJP,2,Graduate Professional,"Rs 1,91,06,06,090 ~ 191 Crore+","Rs 32,67,22,427 ~ 32 Crore+"
182,Kshitij Hitendra Thakur,NALASOPARA,Bahujan Vikas Aaghadi,0,Post Graduate,"Rs 63,67,62,217 ~ 63 Crore+","Rs 13,82,25,738 ~ 13 Crore+"
183,Balaji Devidasrao Kalyankar,NANDED NORTH,SHS,2,12th Pass,"Rs 1,88,57,402 ~ 1 Crore+","Rs 50,60,767 ~ 50 Lacs+"
184,Mohanrao Marotrao Hambarde,NANDED SOUTH,INC,0,10th Pass,"Rs 2,48,05,632 ~ 2 Crore+","Rs 13,88,886 ~ 13 Lacs+"
185,Suhas Dwarkanath Kande,NANDGAON,SHS,7,Graduate,"Rs 11,14,38,150 ~ 11 Crore+","Rs 1,02,52,252 ~ 1 Crore+"
186,Vijaykumar Krushnarao Gavit,NANDURBAR (ST),BJP,9,Post Graduate,"Rs 27,15,28,348 ~ 27 Crore+","Rs 1,59,63,197 ~ 1 Crore+"
187,Seema Mahesh Hiray (Seematai),NASHIK  WEST,BJP,1,Graduate,"Rs 20,72,26,437 ~ 20 Crore+","Rs 84,00,000 ~ 84 Lacs+"
188,Devyani Suhas Pharande,NASHIK (CENTRAL),BJP,0,Post Graduate,"Rs 7,70,14,204 ~ 7 Crore+","Rs 9,15,966 ~ 9 Lacs+"
189,Rahul Uattamrao Dhikle,NASHIK EAST,BJP,1,Graduate Professional,"Rs 7,29,38,388 ~ 7 Crore+","Rs 58,22,783 ~ 58 Lacs+"
190,Naik Shirishkumar Surupsing,NAWAPUR (ST),INC,0,Graduate,,"Rs 30,42,512 ~ 30 Lacs+"
191,Shankarrao Yashwantrao Gadakh,NEVASA,Krantikari Shetkari Party,4,Graduate,"Rs 4,40,52,580 ~ 4 Crore+","Rs 5,71,055 ~ 5 Lacs+"
192,Nilangekar Sambhaji Diliprao Patil,NILANGA,BJP,2,Others,"Rs 6,17,34,410 ~ 6 Crore+","Rs 9,64,525 ~ 9 Lacs+"
193,Bankar Diliprao Shankarrao,NIPHAD,NCP,4,Graduate,"Rs 68,49,71,965 ~ 68 Crore+","Rs 4,27,10,365 ~ 4 Crore+"
194,Chougule Dnyanraj Dhondiram,OMERGA (SC),SHS,0,Post Graduate,"Rs 1,81,95,559 ~ 1 Crore+","Rs 87,80,000 ~ 87 Lacs+"
195,Kailas Balasaheb Ghadge Patil,OSMANABAD,SHS,0,12th Pass,"Rs 79,82,549 ~ 79 Lacs+","Rs 21,59,488 ~ 21 Lacs+"
196,Pratap Baburao Sarnaik,OVALA MAJIWADA,SHS,5,10th Pass,"Rs 1,43,97,18,745 ~ 143 Crore+","Rs 1,17,08,75,806 ~ 117 Crore+"
197,Kishor Dhansing Patil,PACHORA,SHS,3,12th Pass,"Rs 12,80,65,658 ~ 12 Crore+","Rs 10,43,78,604 ~ 10 Crore+"
198,Bhumare Sandipanrao Asaram,PAITHAN,SHS,9,10th Pass,"Rs 2,92,04,023 ~ 2 Crore+","Rs 22,00,000 ~ 22 Lacs+"
199,Shrinivas Chintaman Vanga,PALGHAR (ST),SHS,0,Graduate,"Rs 72,85,686 ~ 72 Lacs+","Rs 22,78,699 ~ 22 Lacs+"
200,Kadam Vishwajeet Patangrao,PALUS-KADEGAON,INC,0,Doctorate,,"Rs 1,21,03,53,962 ~ 121 Crore+"
201,Bhalake Bharat Tukaram,PANDHARPUR,NCP,1,8th Pass,"Rs 1,62,35,077 ~ 1 Crore+",Rs 0 ~
202,Prashant Ramsheth Thakur,PANVEL,BJP,2,12th Pass,"Rs 1,83,27,22,562 ~ 183 Crore+","Rs 3,89,48,286 ~ 3 Crore+"
203,Tanaji Jaywant Sawant,PARANDA,SHS,11,Doctorate,"Rs 2,06,17,54,006 ~ 206 Crore+","Rs 11,66,45,693 ~ 11 Crore+"
204,Dr. Rahul Vedprakash Patil,PARBHANI,SHS,2,Graduate Professional,"Rs 2,92,92,039 ~ 2 Crore+","Rs 55,66,955 ~ 55 Lacs+"
205,Dhananjay Panditrao Munde,PARLI,NCP,9,Graduate Professional,"Rs 23,05,09,940 ~ 23 Crore+","Rs 1,89,28,480 ~ 1 Crore+"
206,Nilesh Dnyandev Lanke,PARNER,NCP,4,Graduate,"Rs 75,50,409 ~ 75 Lacs+","Rs 32,28,989 ~ 32 Lacs+"
207,Babanrao Dattatrya Yadav(Lonikar),PARTUR,BJP,1,5th Pass,"Rs 4,30,68,547 ~ 4 Crore+",Rs 0 ~
208,Madhuri Satish Misal,PARVATI,BJP,1,Graduate,"Rs 88,84,86,615 ~ 88 Crore+","Rs 6,45,00,000 ~ 6 Crore+"
209,Desai Shambhuraj Shivajirao,PATAN,SHS,0,12th Pass,"Rs 14,40,29,304 ~ 14 Crore+","Rs 1,13,97,745 ~ 1 Crore+"
210,Warpudkar Suresh Ambadasrao,PATHRI,INC,1,Graduate,,"Rs 57,10,000 ~ 57 Lacs+"
211,Ravisheth Patil,PEN,BJP,0,12th Pass,"Rs 10,66,97,573 ~ 10 Crore+","Rs 19,61,261 ~ 19 Lacs+"
212,Dipak Pralhad Chavan,PHALTAN (SC),NCP,1,Post Graduate,"Rs 83,45,034 ~ 83 Lacs+","Rs 69,21,631 ~ 69 Lacs+"
213,Bagde Haribhau Kisanrao,PHOLAMBARI,BJP,3,10th Pass,"Rs 25,38,96,461 ~ 25 Crore+","Rs 1,28,69,162 ~ 1 Crore+"
214,Anna Dadu Bansode,PIMPRI (SC),NCP,0,10th Pass,"Rs 2,67,56,183 ~ 2 Crore+",Rs 0 ~
215,Kamble Sunil Dnyandev,PUNE CANTONMENT (SC),BJP,1,8th Pass,"Rs 3,64,52,975 ~ 3 Crore+","Rs 1,18,72,409 ~ 1 Crore+"
216,Sanjay Chandrakant Jagtap,PURANDAR,INC,7,Post Graduate,"Rs 2,45,67,82,836 ~ 245 Crore+","Rs 13,44,450 ~ 13 Lacs+"
217,Naik Indranil Manohar,PUSAD,NCP,1,Graduate Professional,"Rs 4,45,85,455 ~ 4 Crore+","Rs 72,54,773 ~ 72 Lacs+"
218,Abitkar Prakash Anandrao,RADHANAGARI,SHS,1,Graduate,"Rs 1,47,00,791 ~ 1 Crore+","Rs 40,61,908 ~ 40 Lacs+"
219,Prajakt Prasadrao Tanpure,RAHURI,NCP,2,Post Graduate,"Rs 6,91,52,712 ~ 6 Crore+","Rs 3,04,52,611 ~ 3 Crore+"
220,Rajan Prabhakar Salvi,RAJAPUR,SHS,1,Graduate,,"Rs 73,75,814 ~ 73 Lacs+"
221,Subhash Ramchandrarao Dhote,RAJURA,INC,3,Graduate,"Rs 3,24,79,265 ~ 3 Crore+","Rs 1,48,750 ~ 1 Lacs+"
222,Ashok Ramaji Wooike (Uike),RALEGAON (ST),BJP,1,Post Graduate,"Rs 1,51,78,073 ~ 1 Crore+",Rs 0 ~
223,Ashish Nandkishor Jaiswal,RAMTEK,IND,1,Graduate Professional,"Rs 5,64,54,480 ~ 5 Crore+","Rs 85,39,085 ~ 85 Lacs+"
224,Uday Ravindra Samant,RATNAGIRI,SHS,0,12th Pass,"Rs 4,33,39,782 ~ 4 Crore+","Rs 1,26,70,348 ~ 1 Crore+"
225,Chaudhari Shirish Madhukarrao,RAVER,INC,2,Post Graduate,"Rs 7,81,15,233 ~ 7 Crore+","Rs 27,01,274 ~ 27 Lacs+"
226,Amit Subhashrao Zanak,RISOD,INC,0,Graduate Professional,"Rs 4,64,49,663 ~ 4 Crore+","Rs 11,40,500 ~ 11 Lacs+"
227,Nanabhau Falgunrao Patole,SAKOLI,INC,7,12th Pass,"Rs 2,52,67,175 ~ 2 Crore+","Rs 11,55,060 ~ 11 Lacs+"
