HIGHLIGHTS OF WINNERS
Total winners analyzed by NEW,285
Winners with declared criminal cases,177 (62%)
Winners with declared serious criminal cases,114 (40%)
Crorepati winners,264 (93%)
Winners who are graduate or above,158 (55%)
Winners  who have not declared PAN,1 (0%)
Total women winners,24 (8%)
