0,1,2,3,4,5,6,7,8
i,Cash,"4,09,659  4 Lacs+","1,05,375  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 5,15,034
5 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","FDR
25,00,000  25 Lacs+

Dena Bank, Malegaon branch
19,000  19 Thou+

Dena Bank, Malegaon branch
15,800  15 Thou+

Dena Bank, Malegaon branch
6,399  6 Thou+

SBI, Malegaon branch
2,333  2 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 25,43,532
25 Lacs+"
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Motor Cycle Honda Shine year 2012
58,000  58 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 58,000
58 Thou+"
vii,Jewellery (give details weight value),Nil,"55 gm. Gold
0*(Value Not Given)",Nil,Nil,Nil,Nil,Rs 0
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),0,0,Nil,Nil,Nil,Nil,Rs 0,
Totals (Calculated as Sum of Values),"Rs 30,11,191
30 Lacs+","Rs 1,05,375
1 Lacs+",Nil,Nil,Nil,Nil,"Rs 31,16,566
31 Lacs+",
