0,1,2,3
self,Y,2018 - 2019,"2018 - 2019 ** Rs 34,52,653 ~ 34 Lacs+
2017 - 2018 ** Rs 39,46,797 ~ 39 Lacs+
2016 - 2017 ** Rs 32,89,060 ~ 32 Lacs+
2015 - 2016 ** Rs 16,93,504 ~ 16 Lacs+
2014 - 2015 ** Rs 14,53,775 ~ 14 Lacs+"
spouse,Y,2018 - 2019,"2018 - 2019 ** Rs 4,92,804 ~ 4 Lacs+
2017 - 2018 ** Rs 5,08,537 ~ 5 Lacs+
2016 - 2017 ** Rs 5,57,401 ~ 5 Lacs+
2015 - 2016 ** Rs 6,09,943 ~ 6 Lacs+
2014 - 2015 ** Rs 27,51,595 ~ 27 Lacs+"
huf,Y,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent1,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent2,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent3,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
