0,1,2,3
self,Y,2018 - 2019,"2018 - 2019 ** Rs 19,57,328 ~ 19 Lacs+
2017 - 2018 ** Rs 20,01,501 ~ 20 Lacs+
2016 - 2017 ** Rs 15,86,611 ~ 15 Lacs+
2015 - 2016 ** Rs 27,44,814 ~ 27 Lacs+
2014 - 2015 ** Rs 13,67,067 ~ 13 Lacs+"
spouse,Y,2018 - 2019,"2018 - 2019 ** Rs 3,21,800 ~ 3 Lacs+
2017 - 2018 ** Rs 6,28,855 ~ 6 Lacs+
2016 - 2017 ** Rs 6,38,209 ~ 6 Lacs+
2015 - 2016 ** Rs 22,49,385 ~ 22 Lacs+
2013 - 2014 ** Rs 23,97,500 ~ 23 Lacs+"
huf,,,"** Nil
** Nil
** Nil
** Nil
** Nil"
dependent1,,,"** Nil
** Nil
** Nil
** Nil
** Nil"
dependent2,,,"** Nil
** Nil
** Nil
** Nil
** Nil"
dependent3,,,"** Nil
** Nil
** Nil
** Nil
** Nil"
