0,1,2,3
self,Y,2017 - 2018,"2018 - 2019 ** Rs 89,45,817 ~ 89 Lacs+
2017 - 2018 ** Rs 93,26,452 ~ 93 Lacs+
2016 - 2017 ** Rs 26,01,148 ~ 26 Lacs+
2015 - 2016 ** Rs 35,93,703 ~ 35 Lacs+
2014 - 2015 ** Rs 40,08,905 ~ 40 Lacs+"
spouse,Y,2017 - 2018,"2018 - 2019 ** Rs 6,18,662 ~ 6 Lacs+
2017 - 2018 ** Rs 5,12,600 ~ 5 Lacs+
2016 - 2017 ** Rs 5,04,549 ~ 5 Lacs+
2015 - 2016 ** Rs 3,62,450 ~ 3 Lacs+
None ** Rs 0 ~"
huf,,,"** Nil
** Nil
** Nil
** Nil
** Nil"
dependent1,Y,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent2,Y,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent3,,,"** Nil
** Nil
** Nil
** Nil
** Nil"
