0,1,2,3
self,Y,2018 - 2019,"2017 - 2018 ** Rs 3,64,04,840 ~ 3 Crore+
2016 - 2017 ** Rs 14,19,600 ~ 14 Lacs+
2015 - 2016 ** Rs 6,96,570 ~ 6 Lacs+
2014 - 2015 ** Rs 7,10,620 ~ 7 Lacs+
2013 - 2014 ** Rs 6,47,940 ~ 6 Lacs+"
spouse,Y,2018 - 2019,"2017 - 2018 ** Rs 14,88,380 ~ 14 Lacs+
2016 - 2017 ** Rs 13,14,170 ~ 13 Lacs+
2015 - 2016 ** Rs 12,91,880 ~ 12 Lacs+
2014 - 2015 ** Rs 12,56,320 ~ 12 Lacs+
2013 - 2014 ** Rs 13,94,610 ~ 13 Lacs+"
huf,Y,2018 - 2019,"2017 - 2018 ** Rs 1,85,930 ~ 1 Lacs+
2016 - 2017 ** Rs 5,46,650 ~ 5 Lacs+
2015 - 2016 ** Rs 1,70,050 ~ 1 Lacs+
2014 - 2015 ** Rs 2,23,090 ~ 2 Lacs+
2013 - 2014 ** Rs 1,56,100 ~ 1 Lacs+"
dependent1,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent2,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent3,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
