0,1,2,3
self,Y,2018 - 2019,"2018 - 2019 ** Rs 1,58,19,690 ~ 1 Crore+
2017 - 2018 ** Rs 1,12,67,760 ~ 1 Crore+
2016 - 2017 ** Rs 1,79,20,230 ~ 1 Crore+
2015 - 2016 ** Rs 1,36,82,350 ~ 1 Crore+
2014 - 2015 ** Rs 1,21,71,450 ~ 1 Crore+"
spouse,Y,2018 - 2019,"2018 - 2019 ** Rs 14,39,160 ~ 14 Lacs+
2017 - 2018 ** Rs 58,97,250 ~ 58 Lacs+
2016 - 2017 ** Rs 1,13,49,110 ~ 1 Crore+
2015 - 2016 ** Rs 88,67,630 ~ 88 Lacs+
2014 - 2015 ** Rs 81,87,170 ~ 81 Lacs+"
huf,Y,2015 - 2016,"2015 - 2016 ** Rs 4,225 ~ 4 Thou+
2014 - 2015 ** Rs 6,363 ~ 6 Thou+
2013 - 2014 ** Rs 7,790 ~ 7 Thou+
2012 - 2013 ** Rs 10,014 ~ 10 Thou+
2011 - 2012 ** Rs 7,334 ~ 7 Thou+"
dependent1,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent2,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent3,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
