0,1,2,3
self,Y,2018 - 2019,"2018 - 2019 ** Rs 34,96,190 ~ 34 Lacs+
2017 - 2018 ** Rs 39,91,870 ~ 39 Lacs+
2016 - 2017 ** Rs 33,96,450 ~ 33 Lacs+
2015 - 2016 ** Rs 22,84,890 ~ 22 Lacs+
2014 - 2015 ** Rs 0 ~"
spouse,Y,2018 - 2019,"2018 - 2019 ** Rs 55,81,152 ~ 55 Lacs+
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
huf,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent1,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent2,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent3,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
