0,1,2,3
self,Y,2017 - 2018,"2017 - 2018 ** Rs 1,74,66,580 ~ 1 Crore+
2016 - 2017 ** Rs 48,63,620 ~ 48 Lacs+
2015 - 2016 ** Rs 25,79,650 ~ 25 Lacs+
2014 - 2015 ** Rs 29,57,840 ~ 29 Lacs+
2013 - 2014 ** Rs 32,03,940 ~ 32 Lacs+"
spouse,Y,2018 - 2019,"2018 - 2019 ** Rs 4,70,080 ~ 4 Lacs+
2017 - 2018 ** Rs 2,34,070 ~ 2 Lacs+
2016 - 2017 ** Rs 16,41,590 ~ 16 Lacs+
2015 - 2016 ** Rs 6,44,840 ~ 6 Lacs+
2014 - 2015 ** Rs 6,51,590 ~ 6 Lacs+"
huf,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent1,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent2,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent3,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
