0,1,2,3
self,Y,2018 - 2019,"2018 - 2019 ** Rs 35,04,366 ~ 35 Lacs+
2017 - 2018 ** Rs 5,82,131 ~ 5 Lacs+
2016 - 2017 ** Rs 10,37,787 ~ 10 Lacs+
2015 - 2016 ** Rs 15,56,890 ~ 15 Lacs+
2014 - 2015 ** Rs 26,87,963 ~ 26 Lacs+"
spouse,Y,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
huf,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent1,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent2,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
dependent3,N,None,"None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~
None ** Rs 0 ~"
