Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Chhagan Chandrakant Bhujbal in Maharashtra 2019,YEVLA,71,NCP,Yes,7,10th Pass,"26,94,39,298
~ 26 Crore+","91,14,295
~ 91 Lacs+",Y
Bhujbal Chhagan Chandrakant in Loksabha 2014,NASHIK,66,NCP,Yes,1,10th Pass,"21,75,59,536
~ 21 Crore+","3,50,000
~ 3 Lacs+",Y
Chhagan Chandrakant Bhujbal in Maharashtra Election 2014,YEVLA,67,NCP,Yes,1,10th Pass,"21,91,29,415
~ 21 Crore+","1,50,000
~ 1 Lacs+",Y
Chhagan Bhujbal in Maharashtra 2009,Yevla,61,NCP,No,0,10th Pass,"7,75,29,023
~ 7 Crore+","1,17,640
~ 1 Lacs+",Y
