Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Mohammed Nawab Malik in Maharashtra 2019,ANUSHAKTI NAGAR,60,NCP,No,0,12th Pass,"5,74,69,772
~ 5 Crore+","45,30,437
~ 45 Lacs+",Y
Nawab Malik in Maharashtra Election 2014,ANUSHAKTI NAGAR,55,NCP,No,0,12th Pass,"4,48,47,631
~ 4 Crore+","42,32,051
~ 42 Lacs+",Y
Nawab Malik in Maharashtra 2009,Anushakti Nagar,50,NCP,No,0,12th Pass,"1,30,80,750
~ 1 Crore+","0
~",Y
NAWAB MALIK in Maharashtra 2004,NEHRUNAGAR,45,NCP,Yes,6,12th Pass,"74,93,922
~ 74 Lacs+","21,387
~ 21 Thou+",Y
