Name,Constituency,Age,Party Code,Criminal Cases,Number of Cases,Education Level,Total Assets,Total Liabilities,"PAN Given
(Y or N)"
Warpudkar Suresh Ambadasrao in Maharashtra 2019,PATHRI,68,INC,Yes,1,Graduate,"7,79,17,013
~ 7 Crore+","57,10,000
~ 57 Lacs+",Y
Warpudkar Suresh Ambadasrao in Maharashtra Election 2014,PATHRI,63,INC,Yes,2,Graduate,"5,86,50,479
~ 5 Crore+","31,08,524
~ 31 Lacs+",Y
Warpudkar Suresh Ambadasrao in Maharashtra 2009,Gangakhed,60,NCP,No,0,Post Graduate,"2,81,97,000
~ 2 Crore+","33,31,000
~ 33 Lacs+",Y
WARPUDKAR SURESH AMBADASRAO in Lok Sabha 2009,Parbhani,60,NCP,No,0,Graduate,"2,68,97,000
~ 2 Crore+","33,31,000
~ 33 Lacs+",Y
